"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"AGRONOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","3","1.833",".","33.3",".",".","33.3","",".","33.3",".","",".",".","",".",".","",".",".",".","."
"Junior","","16","3.100","25.0","6.3","31.3","25.0","6.3","",".",".",".","",".",".","",".",".","",".","6.3",".","."
"Senior","","52","3.271","28.8","28.8","25.0","3.8","11.5","",".",".","1.9","",".",".","",".",".","",".",".",".","."
"Undergraduates","","72","3.158","26.4","23.6","26.4","8.3","11.1","",".","1.4","1.4","",".",".","",".",".","",".","1.4",".","."
"Special","","4","3.333","25.0",".","50.0",".",".","",".",".","25.0","",".",".","",".",".","",".",".",".","."
"Graduate","","99","3.839","28.3","7.1","3.0",".",".","",".",".","31.3","",".","24.2","",".","6.1","",".",".",".","."
"","Dept. Total","175","3.366","27.4","13.7","13.7","3.4","4.6","",".","0.6","18.9","",".","13.7","",".","3.4","",".","0.6",".","."
