"ALS","","","","","","","","","","","","","","","","","","","","",""
"BIOCHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","",""
"BIOCHEM
200","Dept. Total","1028","3.290","35.8","13.7","20.6","3.7","6.2","1.3","0.8","14.7","",".",".","",".","2.8","0.3",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.000","40.0",".","20.0",".","40.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","39","2.807","17.9","7.7","38.5","10.3","20.5","2.6","2.6",".","",".",".","",".",".",".",".",".","."
"Junior","","145","3.246","35.2","15.9","31.7","6.9","7.6","2.8",".",".","",".",".","",".",".",".",".",".","."
"Senior","","399","3.226","40.9","14.8","24.3","4.8","10.3","2.0","1.8","0.5","",".",".","",".",".","0.8",".",".","."
"Undergraduates","","588","3.199","37.9","14.5","27.0","5.6","10.5","2.2","1.4","0.3","",".",".","",".",".","0.5",".",".","."
"Special","","18","3.261","27.8","16.7","27.8","11.1","5.6",".",".","5.6","",".",".","",".",".",".",".","5.6","."
"Graduate","","421","3.623","33.3","12.4","11.4","0.7","0.2",".",".","35.2","",".",".","",".","6.9",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1028","3.290","35.8","13.7","20.6","3.7","6.2","1.3","0.8","14.7","",".",".","",".","2.8","0.3",".","0.1","."
