"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","62","2.532","11.3","11.3","35.5","4.8","21.0","8.1","8.1",".",".",".",".",".",".",".",".","."
"","302
002","63","2.167","4.8","15.9","9.5","17.5","25.4","19.0","7.9",".",".",".",".",".",".",".",".","."
"","003
302","19","2.824","15.8","10.5","21.1","21.1","15.8","5.3",".","5.3",".",".",".",".",".","5.3",".","."
"","302
004","17","2.281","23.5","11.8","5.9","5.9","17.6","11.8","17.6","5.9",".",".",".",".",".",".",".","."
"","006
302","18","2.639","22.2","5.6","16.7","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"","302
007","13","2.818","30.8",".","23.1",".","15.4","15.4",".","7.7",".",".",".",".",".","7.7",".","."
"","302
008","13","2.500","7.7","23.1","30.8","7.7",".","7.7","15.4","7.7",".",".",".",".",".",".",".","."
"","010
302","22","2.690","18.2","9.1","27.3","13.6","13.6","9.1","4.5",".",".",".",".",".",".",".",".","4.5"
"","302
011","10","2.600","10.0","10.0","40.0","10.0","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"","302
012","13","2.208","7.7",".","7.7","23.1","38.5","15.4",".",".",".",".",".",".",".",".",".","7.7"
"","302
015","13","2.083","7.7",".","15.4","15.4","30.8","15.4","7.7","7.7",".",".",".",".",".",".",".","."
"","016
302","14","2.192",".","28.6","14.3","7.1","14.3","14.3","14.3",".",".",".",".",".",".","7.1",".","."
"","302
018","17","2.618","11.8","29.4","11.8","11.8","23.5",".","11.8",".",".",".",".",".",".",".",".","."
"","020
302","15","3.038","40.0","13.3",".","6.7","13.3","13.3",".","6.7","6.7",".",".",".",".",".",".","."
"","021
302","14","2.821","14.3","7.1","42.9","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","029
302","19","2.526","10.5","21.1","15.8","21.1","15.8","5.3","10.5",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","342","2.486","13.2","12.9","20.2","12.6","19.6","11.1","7.0","1.8","0.3",".",".",".",".","0.9",".","0.6"
"Prob Solvng Using Computers","310
001","289","2.920","10.7","8.0","50.2","25.3","2.4","2.8","0.7",".",".",".",".",".",".",".",".","."
"","352
001","58","2.810","12.1","12.1","32.8","25.9","12.1","3.4","1.7",".",".",".",".",".",".",".",".","."
"","002
352","49","2.684","8.2","16.3","20.4","26.5","22.4","6.1",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","107","2.752","10.3","14.0","27.1","26.2","16.8","4.7","0.9",".",".",".",".",".",".",".",".","."
"","354
001","42","3.038","28.6","16.7","19.0","14.3","9.5","4.8","2.4","2.4",".",".",".",".",".","2.4",".","."
"","002
354","60","3.083","28.3","23.3","13.3","20.0","10.0","3.3","1.7",".",".",".",".",".",".",".",".","."
"","003
354","68","2.754","16.2","25.0","11.8","20.6","11.8","8.8","4.4",".",".",".",".",".",".","1.5",".","."
"Machine Organizatn&Progrmng","Course Total","170","2.940","23.5","22.4","14.1","18.8","10.6","5.9","2.9","0.6",".",".",".",".",".","1.2",".","."
"","367
001","50","2.906","24.0","14.0","32.0","4.0","12.0","4.0","6.0",".","2.0",".",".",".",".","2.0",".","."
"","002
367","33","3.136","24.2","15.2","33.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","367
003","65","3.231","23.1","35.4","12.3","23.1","6.2",".",".",".",".",".",".",".",".",".",".","."
"","004
367","56","3.055","23.2","23.2","17.9","19.6","10.7","1.8","1.8",".","1.8",".",".",".",".",".",".","."
"","367
005","54","3.057","24.1","16.7","27.8","13.0","13.0","3.7",".","1.9",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","258","3.083","23.6","22.1","23.3","15.9","10.1","1.9","1.6","0.4","0.8",".",".",".",".","0.4",".","."
"","371
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Numerical Methods","001
412","95","2.984","24.2","24.2","17.9","12.6","11.6","8.4","1.1",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","15","2.700","13.3","40.0","13.3","6.7","6.7","6.7","13.3",".",".",".",".",".",".",".",".","."
"Numerical Analysis","001
514","26","2.920","26.9","19.2","15.4","3.8","23.1","3.8","3.8",".",".",".",".",".",".","3.8",".","."
"Linear Programming Methods","525
001","47","2.745","23.4","8.5","29.8","8.5","17.0","6.4","6.4",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","58","3.396","48.3","17.2","15.5","12.1","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"","001
537","56","3.305","39.3","21.4","16.1","14.3","7.1","1.8",".",".",".",".",".",".",".",".",".","."
"","002
537","67","3.186","31.3","25.4","17.9","13.4","9.0",".","3.0",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","123","3.238","35.0","23.6","17.1","13.8","8.1","0.8","1.6",".",".",".",".",".",".",".",".","."
