"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
003","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","18","3.611","50.0","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","001
130","","11","3.273","18.2","45.5","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","13","3.346","23.1","46.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","23","3.630","43.5","43.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
003","","16","3.656","62.5","6.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","21","3.714","66.7","9.5","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Publications Editing","001
505","","9","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
515","","7","3.000","14.3","28.6","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","14","3.107","7.1","35.7","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","530
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","","11","3.182","9.1","27.3","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","17","3.382","23.5","35.3","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","601
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
