"L&S","","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"JOURN
Dept. Total
512","1388","3.463","35.2","31.1","25.3","2.2","1.4","0.3","0.4","2.2","0.1","1.3","",".","0.5","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","84","3.315","20.2","33.3","39.3","3.6","3.6",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","317","3.401","24.0","38.5","34.7","1.3","0.9","0.3",".",".",".","0.3","",".",".","",".",".",".","."
"Junior","346","3.408","34.4","28.6","29.8","2.9","2.0","0.6","0.6",".",".","1.2","",".",".","",".",".",".","."
"Senior","466","3.513","42.5","28.5","20.2","3.0","1.3","0.2","0.9","0.9",".","2.6","",".",".","",".",".",".","."
"Undergraduates","1213","3.437","33.8","31.5","28.0","2.6","1.6","0.3","0.5","0.3",".","1.4","",".",".","",".",".",".","."
"Special","8","3.885","62.5","25.0",".",".",".",".",".","12.5",".",".","",".",".","",".",".",".","."
"Graduate","164","3.732","43.9","28.0","6.7",".",".",".",".","15.2","1.2","0.6","",".","4.3","",".",".",".","."
"Prof Yr 2","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Professionals","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Dept. Total","1388","3.463","35.2","31.1","25.3","2.2","1.4","0.3","0.4","2.2","0.1","1.3","",".","0.5","",".",".",".","."
