"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"707
Erly Mod Eurp His,1500-1789","001","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"774
Meth-Rsch: Non-Literate Soc","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"819
History of Mass Communication","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Resrch Smr-Latin Amer Hist","001","","11","3.862","63.6","27.3",".",".",".",".",".",".",".",".",".","9.1",".",".",".","."
"850
Smr-Hist Su&Mod His Ec Eur","001","","12","3.594","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"851
Smr-Ottoman & Mid E Hist","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"858
Smr-Prob of Islamic History","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-History of Africa","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891","002","","12","3.889","66.7",".","8.3",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Prosem-Mod European History","Course Total","","19","3.938","78.9",".","5.3",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"901","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","002","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","004","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"901","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","006","","9","3.917","55.6","11.1",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Studies in American History","Course Total","","57","3.821","63.2","26.3","3.5",".",".",".",".",".",".",".",".",".","7.0",".",".","."
"982
Smr-Latin American Area","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","9","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 225 of 392",""
