"L&S","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2592","3.260","33.2","21.4","17.4","8.2","7.0","2.2","1.3","7.2","0.2","0.2","",".","1.0","0.4","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","202","3.054","21.8","25.7","24.3","9.9","13.4","4.0","1.0",".",".",".","",".",".",".",".",".","."
"Sophomore","","437","3.357","41.6","22.2","19.7","9.2","4.1","1.4","1.8",".",".",".","",".",".",".",".",".","."
"Junior","","676","3.247","33.0","24.6","21.3","9.0","6.4","2.8","1.3","1.2",".","0.1","",".",".",".","0.3",".","."
"Senior","","896","3.170","30.8","22.3","17.2","9.8","10.3","2.8","1.6","3.2","0.2","0.6","",".","0.1","0.3","0.3","0.4","."
"Undergraduates","","2211","3.222","32.8","23.3","19.6","9.5","8.1","2.6","1.5","1.7","0.1","0.3","",".","0.0","0.1","0.2","0.2","."
"Special","","20","3.392","40.0","10.0","25.0","10.0",".",".",".","15.0",".",".","",".",".",".",".",".","."
"Graduate","","361","3.783","35.2","10.5","3.3","0.3","0.3",".","0.3","40.4","0.6",".","",".","6.9","1.9","0.3",".","."
"","Dept. Total","2592","3.260","33.2","21.4","17.4","8.2","7.0","2.2","1.3","7.2","0.2","0.2","",".","1.0","0.4","0.2","0.2","."
