"","990
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","63","",".",".",".",".",".",".",".","54.0",".",".",".","46.0",".",".",".","."
"FOOD SCI
390","Dept. Total","1037","3.282","36.3","18.5","17.6","8.5","5.5","2.7","0.4","5.3",".","2.1",".","2.8","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","90","3.256","42.2","18.9","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Sophomore","","258","3.354","39.5","25.2","17.8","9.7","3.9","3.5",".","0.4",".",".",".",".",".",".",".","."
"Junior","","205","3.282","39.0","20.0","17.6","11.2","7.8","2.9",".","1.0",".","0.5",".",".",".",".",".","."
"Senior","","311","3.198","33.8","15.1","21.5","8.4","7.1","2.3","1.0","3.5",".","6.8",".",".","0.3",".",".","."
"Undergraduates","","864","3.275","37.6","19.7","19.0","9.7","6.1","3.1","0.3","1.6",".","2.5",".",".","0.1",".",".","."
"Special","","11","2.283","27.3","9.1",".",".","27.3","9.1","9.1","9.1",".",".",".",".",".",".","9.1","."
"Graduate","","161","3.494","29.8","12.4","11.8","2.5","0.6",".",".","24.8",".",".",".","18.0",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1037","3.282","36.3","18.5","17.6","8.5","5.5","2.7","0.4","5.3",".","2.1",".","2.8","0.1",".","0.1","."
