"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"682","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","14","3.875","71.4","7.1","7.1",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"692","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"695","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"695","005","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Creative Writing","Course Total","","54","3.896","81.5","13.0","3.7",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"699","122","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","41","3.911","87.8","7.3","2.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"700
Intro-Composition Studies","001","","14","3.958","78.6","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","7.1"
"706
Special Topics-Compositn Thry","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Adv Eng Phonology","001","","10","3.150","20.0","50.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"711
Rsch on English as 2nd Lang","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"724
Narrative Literature","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Renaissance Dramatic Lit","001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"770
English Lit, 1660-1700","001","","11","3.889","63.6","18.2",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"780
Creative Writing:Grad Wkshp","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 204 of 392",""
