"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"322
001
Teachng Art:Pre-Middle Schl","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"325
001
Comptrs-Elem&Secndry Art Ed","","15","3.833","73.3","20.0","6.7",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"423
001
Stdt Tchg-Elem School Art","","22","3.818","68.2","27.3","4.5",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","22","3.886","81.8","13.6","4.5",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"699
059
Independent Reading & Rsch","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"951
001
Seminar in Art Education","","7","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"999
059
Adv Independent Reading","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ART ED
Dept. Total
176","","74","3.868","79.7","16.2","4.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","53","3.849","75.5","18.9","5.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","54","3.851","75.9","18.5","5.6",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","6","3.850","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","14","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","74","3.868","79.7","16.2","4.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
