"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"","314
001","","22","3.190","13.6","22.7","50.0","4.5","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","314
002","","20","3.275","5.0","60.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","314
003","","32","2.797","3.1","15.6","40.6","31.3","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","","74","3.041","6.8","29.7","37.8","18.9","4.1",".","1.4",".",".",".",".",".","1.4",".",".","."
"","002
340","","24","2.813","4.2","12.5","37.5","33.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","340
003","","26","2.731","7.7","15.4","26.9","30.8","11.5","7.7",".",".",".",".",".",".",".",".",".","."
"","340
004","","25","2.780","8.0","8.0","40.0","36.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","","75","2.773","6.7","12.0","34.7","33.3","9.3","2.7","1.3",".",".",".",".",".",".",".",".","."
"","342
001","","44","2.727","15.9","18.2","9.1","31.8","13.6","11.4",".",".",".",".",".",".",".",".",".","."
"","342
003","","45","2.556","11.1","13.3","13.3","26.7","26.7","4.4","4.4",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","","89","2.640","13.5","15.7","11.2","29.2","20.2","7.9","2.2",".",".",".",".",".",".",".",".","."
"","349
001","","16","3.219","25.0","37.5","12.5","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","349
002","","15","3.200",".","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
349","","16","3.344","31.3","12.5","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","","17","2.853",".",".","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"","349
005","","22","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
006","","13","3.346","23.1","38.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","","99","3.303","22.2","32.3","33.3","8.1","4.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","","39","3.038","25.6","20.5","17.9","23.1","7.7","2.6","2.6",".",".",".",".",".",".",".",".","."
"","003
361","","30","2.750","3.3","23.3","26.7","20.0","23.3","3.3",".",".",".",".",".",".",".",".",".","."
"","361
004","","27","2.667","11.1","11.1","18.5","18.5","40.7",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","","96","2.844","14.6","18.8","20.8","20.8","21.9","2.1","1.0",".",".",".",".",".",".",".",".","."
"","363
001","","30","2.983","20.0","10.0","46.7","6.7","13.3",".","3.3",".",".",".",".",".",".",".",".","."
"","363
002","","35","3.114","17.1","25.7","34.3","8.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","003
363","","34","3.441","35.3","29.4","26.5","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","","99","3.187","24.2","22.2","35.4","7.1","10.1",".","1.0",".",".",".",".",".",".",".",".","."
"","364
001","","28","2.648","10.7","17.9","17.9","14.3","28.6","3.6","3.6",".",".",".",".",".","3.6",".",".","."
"","364
002","","37","2.770","13.5","16.2","21.6","18.9","24.3","5.4",".",".",".",".",".",".",".",".",".","."
"","364
003","","27","2.444","14.8","11.1","11.1","3.7","48.1","7.4","3.7",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","","92","2.637","13.0","15.2","17.4","13.0","32.6","5.4","2.2",".",".",".",".",".","1.1",".",".","."
"Engr Measurements Lab","368
001","","77","2.935","9.1","14.3","46.8","14.3","15.6",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","","95","2.853","8.4","17.9","22.1","38.9","12.6",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","417
001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
001","","45","3.648","60.0","13.3","20.0","2.2","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"","418
002","","26","3.760","61.5","23.1","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","418
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","","77","3.707","62.3","16.9","15.6","1.3","1.3",".",".","1.3",".",".",".",".","1.3",".",".","."
"","419
001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 131 of 392",""
