"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","100
049","18","3.167","11.1","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","050
100","18","3.222","33.3","11.1","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Freshman Composition","Course Total","870","3.354","32.2","32.4","22.8","6.8","3.0","0.8","1.7",".",".",".",".",".",".","0.3",".","."
"","110
006","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
007","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Grammar-Academic Use","115
001","15","",".",".",".",".",".",".",".",".",".","86.7","13.3",".",".",".",".","."
"","116
002","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".","7.7","."
"","116
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","30","",".",".",".",".",".",".",".",".",".","96.7",".",".",".",".","3.3","."
"","117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
002","16","",".",".",".",".",".",".",".",".",".","93.8",".",".",".",".",".","6.3"
"","117
004","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","006
117","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"ESL: Academic Writing I","Course Total","62","",".",".",".",".",".",".",".",".",".","96.8","1.6",".",".",".",".","1.6"
"","118
001","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
118","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
003","15","3.333","26.7","53.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","118
004","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
118","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
007","17","3.618","58.8","17.6","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","118
008","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
009","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","127","3.618","47.2","36.2","14.2","0.8","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","122
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Shakespeare","001
162","277","3.259","20.2","36.8","28.9","7.2","4.0",".","1.8","0.7",".",".",".",".",".",".","0.4","."
"","168
001","295","3.156","19.7","29.5","29.8","11.5","5.1","1.0","2.0",".",".",".",".",".",".","0.7","0.7","."
"","168
002","248","3.170","15.7","27.0","41.5","10.1","4.0","0.4","0.8","0.4",".",".",".",".",".",".",".","."
"Intro to Modern Lit since 1900","Course Total","543","3.163","17.9","28.4","35.2","10.9","4.6","0.7","1.5","0.2",".",".",".",".",".","0.4","0.4","."
"","001
169","137","3.433","26.3","42.3","23.4","5.1","0.7","0.7",".","0.7",".",".",".",".",".",".",".","0.7"
"","169
002","39","3.615","48.7","41.0","7.7",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Intro to Modern American Lit","Course Total","176","3.466","31.3","42.0","19.9","4.0","0.6","0.6","0.6","0.6",".",".",".",".",".",".",".","0.6"
"Intro-Ethnic&Multicultural Lit","173
001","278","3.355","24.5","37.4","24.1","6.8","2.9","0.7","0.4","2.5",".",".",".",".","0.4","0.4",".","."
"","201
002","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","13","3.308","15.4","46.2","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","004
201","13","3.792","69.2","7.7","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","005
201","15","2.900","13.3","33.3","20.0","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"","201
006","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","15","3.333","40.0","26.7","26.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","201
008","19","3.526","36.8","42.1","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","15","3.467","26.7","46.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","010
201","11","3.091","18.2","36.4","36.4",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","201
011","17","3.206","11.8","35.3","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".","."
