"","990
097","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
098","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
099","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","89","",".",".",".",".",".",".",".","92.1",".",".",".","7.9",".",".",".","."
"PHYSICS
754","Dept. Total","2679","2.985","22.4","18.1","21.8","16.1","14.5","2.1","1.0","3.2",".",".",".","0.3","0.3","0.1","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","302","2.821","14.6","17.2","22.5","20.9","21.2","2.0","1.0",".",".",".",".",".","0.3","0.3",".","."
"Sophomore","","749","2.930","19.8","17.8","22.7","18.7","17.2","2.4","1.1",".",".",".",".",".","0.4",".",".","."
"Junior","","747","2.990","21.3","19.1","23.7","18.9","14.2","1.6","0.9","0.1",".",".",".",".",".","0.1",".","."
"Senior","","565","3.032","27.4","17.3","22.7","13.5","14.5","3.7","0.7",".",".",".",".",".",".","0.2",".","."
"Undergraduates","","2363","2.956","21.4","18.0","23.0","17.8","16.1","2.4","0.9","0.0",".",".",".",".","0.2","0.1",".","."
"Special","","45","3.111","37.8","15.6","17.8","15.6","11.1",".","2.2",".",".",".",".",".",".",".",".","."
"Graduate","","273","3.497","27.8","19.4","12.5","1.5","1.1",".","1.1","32.2",".",".",".","2.6","1.1","0.4","0.4","."
"","Dept. Total","2681","2.985","22.3","18.1","21.8","16.1","14.5","2.1","1.0","3.3",".",".",".","0.3","0.3","0.1","0.0","."
