"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Engineerng Economc Analysis","313
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","329
001","","21","3.125","23.8","19.0","23.8","14.3","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","340
001","","18","2.889","5.6","5.6","66.7","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
340","","36","3.375","33.3","8.3","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","","54","3.213","24.1","7.4","61.1","1.9","5.6",".",".",".",".",".",".",".",".",".",".","."
"","399
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
202","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
210","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","","13","3.974","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","406
001","","28","3.357","7.1","57.1","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","80","3.881","82.5","12.5","3.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","80","3.619","40.0","43.8","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","40","3.350","37.5","10.0","50.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","002
603","","42","3.643","45.2","16.7","21.4",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","","82","3.487","41.5","13.4","35.4",".",".",".","1.2","8.5",".",".",".",".",".",".",".","."
"","620
001","","17","3.324","23.5","47.1","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","33","3.212","12.1","42.4","27.3","12.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","50","3.250","16.0","44.0","20.0","14.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630
001","","34","3.147","32.4","17.6","23.5","17.6","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"","631
001","","33","3.545","42.4","27.3","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","","53","3.623","49.1","28.3","20.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","11","3.455","36.4","45.5",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","701
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Adv Financial Reporting","706
001","","14","3.500","21.4","57.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","31","3.548","25.8","58.1","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","36","3.586","33.3","50.0","11.1","2.8",".",".",".",".",".",".",".",".",".","2.8",".","."
"","710
003","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","","79","3.609","35.4","50.6","11.4","1.3",".",".",".",".",".",".",".",".",".","1.3",".","."
"Federal Estate&Gift Taxatn","723
001","","20","3.737","45.0","50.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","001
771","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Reading&Research-Accounting","799
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 51 of 392"
