"","990
146","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
152","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"Reading and Research","Course Total","28","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"Smr-Applied Mathematics","991
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"MATH
600","Dept. Total","5751","2.740","22.1","12.2","22.0","10.8","18.3","7.3","4.6","0.8","0.0","1.3","0.1","",".","0.1","0.3",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1946","2.616","15.2","11.3","23.2","13.5","20.6","8.6","4.9",".",".","2.2","0.2","",".",".","0.3",".","0.2"
"Sophomore","","1891","2.760","21.6","12.8","23.4","10.7","19.0","6.8","4.0",".",".","1.3","0.1","",".",".","0.2",".","0.1"
"Junior","","934","2.724","21.4","13.4","22.8","9.1","19.0","8.0","5.4","0.2","0.1","0.3",".","",".",".","0.3",".","."
"Senior","","568","2.645","19.2","13.6","22.0","10.2","18.1","8.8","6.5","0.7","0.2","0.4",".","",".",".","0.4",".","."
"Undergraduates","","5339","2.687","19.0","12.4","23.1","11.4","19.5","7.9","4.9","0.1","0.0","1.4","0.1","",".",".","0.2",".","0.1"
"Special","","60","3.036","33.3","8.3","21.7","6.7","8.3","3.3","5.0","11.7",".","1.7",".","",".",".",".",".","."
"Graduate","","351","3.748","67.5","10.0","6.0","2.6","2.6",".","0.3","10.0",".",".",".","",".","0.9","0.3",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".","."
"","Dept. Total","5751","2.740","22.1","12.2","22.0","10.8","18.3","7.3","4.6","0.8","0.0","1.3","0.1","",".","0.1","0.3",".","0.1"
