"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","138","2.572","5.1","18.1","21.7","18.1","25.4","10.1","0.7",".",".",".",".",".",".",".",".","0.7"
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","107","2.972","16.8","14.0","37.4","14.0","14.0","2.8",".",".",".",".",".",".",".",".",".","0.9"
"491
Selected Topics-Pharm Sci","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"492
Selected Topics-Pharm Sci","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","144","2.858","13.2","9.0","37.5","18.1","21.5","0.7",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","127","2.665","12.6","4.7","32.3","8.7","40.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","120","3.450","41.7","20.0","30.8","3.3","3.3","0.8",".",".",".",".",".",".",".",".",".","."
"624
Pharmacology IV","001","","115","2.657","6.1","8.7","30.4","20.0","34.8",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","48","3.115","14.6","25.0","37.5","14.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicol Sr Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Selected Topics in Med Chem","001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"767
Solution Kinetics-Phm Sys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Special Topics in Pharm Sci","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Conference-Research Workers","001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"Research","Course Total","","40","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
