"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","",""
"","999
029","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
057","","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Work","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","","99","3.413","24.2","26.3","25.3",".","4.0","",".","",".","18.2","",".",".","",".","2.0","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.333","33.3",".","66.7",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","4","3.625","50.0","25.0","25.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","8","3.038","37.5","12.5","37.5",".","12.5","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","43","3.322","16.3","39.5","37.2",".","7.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","61","3.303","23.0","31.1","39.3",".","6.6","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","38","3.763","26.3","18.4","2.6",".",".","",".","",".","47.4","",".",".","",".","5.3","",".",".",".","."
"","Dept. Total","","99","3.413","24.2","26.3","25.3",".","4.0","",".","",".","18.2","",".",".","",".","2.0","",".",".",".","."
