"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Organization of Information","551","001","","34","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","569","001","","19","3.684","47.4","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"History of Books&Printing","570","001","","14","3.885","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","620","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Young Adult Literature","631","001","","28","3.839","75.0","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","001","","77","3.714","44.2","54.5","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","002","","6","3.853","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640","003","","7","3.350",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","","Course Total","","90","3.696","42.2","54.4","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Library/Media Center","641","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Telecom&Libr/Info Agencies","644","001","","22","3.864","81.8","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653","001","","25","3.740","60.0","32.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","654","001","","38","3.539","28.9","50.0","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772","001","","21","3.690","61.9","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Indexing","817","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Reference & Info Service","825","001","","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"On-Line Reference&Info Serv","828","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","855","001","","19","3.737","57.9","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","855","002","","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","","Course Total","","26","3.635","61.5","30.8",".","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl","875","001","","26","3.538","50.0","19.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Resrch Meth-Libry&Info Stdy","910","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Archives: Manuscripts Adm","977","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
