"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","4338","2.941","25.1","13.1","25.4","9.0","15.5","3.3","2.1","4.5","",".","1.1","",".","0.5","0.1","0.1","0.3","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","964","2.804","16.1","11.4","32.7","11.8","22.2","3.6","2.2",".","",".",".","",".",".",".",".",".","."
"Sophomore","","1258","2.992","26.3","12.9","27.6","9.5","18.0","3.8","1.8",".","",".",".","",".",".",".","0.1",".","0.1"
"Junior","","977","2.967","26.9","15.9","26.2","9.2","15.4","3.9","2.1","0.1","",".",".","",".",".",".","0.1","0.2","."
"Senior","","605","2.875","26.8","19.2","22.8","10.4","13.2","2.8","4.1",".","",".","0.2","",".",".",".",".","0.5","."
"Undergraduates","","3804","2.914","23.9","14.3","27.8","10.1","17.6","3.6","2.4","0.0","",".","0.0","",".",".",".","0.1","0.1","0.0"
"Special","","38","3.106","34.2","7.9","39.5","5.3",".","7.9","2.6","2.6","",".",".","",".",".",".",".",".","."
"Graduate","","640","3.695","40.0","3.4","4.8","0.6","0.3",".",".","38.0","",".","7.2","",".","3.9","0.6","0.2","0.9","."
"","Dept. Total","4482","2.941","26.3","12.7","24.6","8.7","15.0","3.1","2.0","5.5","",".","1.0","",".","0.6","0.1","0.1","0.2","0.0"
