"ALS","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"M&ENVTOX
Dept. Total
362","185","3.511","25.9","8.1","20.0","2.2","1.1","",".","",".","25.4","",".",".","",".","14.1","",".",".","3.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","3.333","25.0",".","50.0",".",".","",".","",".","25.0","",".",".","",".",".","",".",".",".","."
"Junior","22","3.288","31.8","9.1","40.9","9.1","4.5","",".","",".",".","",".",".","",".",".","",".",".","4.5","."
"Senior","50","3.447","38.0","18.0","36.0","4.0","2.0","",".","",".",".","",".",".","",".",".","",".",".","2.0","."
"Undergraduates","76","3.395","35.5","14.5","38.2","5.3","2.6","",".","",".","1.3","",".",".","",".",".","",".",".","2.6","."
"Special","14","3.375","21.4",".","21.4",".",".","",".","",".","28.6","",".",".","",".",".","",".",".","28.6","."
"Graduate","94","3.746","19.1","3.2","5.3",".",".","",".","",".","44.7","",".",".","",".","27.7","",".",".",".","."
"Prof Yr 3","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Dept. Total","185","3.511","25.9","8.1","20.0","2.2","1.1","",".","",".","25.4","",".",".","",".","14.1","",".",".","3.2","."
