"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"613","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","","21","3.797","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"614","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","8","3.948","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"615","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"615","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.923","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","8","3.853","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","21","3.833","85.7","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","28","3.536","42.9","25.0","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"715","020","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"715","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs I","Course Total","","20","3.725","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
