"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"ESL: Acad Skills Workshops","","Course Total","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"English Dialects","331","001","","35","3.457","28.6","34.3","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng 2nd Lang: Lang Learning","333","001","","12","3.500","41.7","25.0","8.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"ESL: Techniques & Materials","335","001","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","31","3.100","19.4","9.7","38.7","29.0",".",".",".",".",".",".",".",".",".",".","3.2","."
"The Sixteenth Century","400","001","","30","2.722","23.3","13.3","10.0","16.7","13.3","6.7","6.7",".",".",".",".",".","10.0",".",".","."
"Outstandg Figures-16thc Lit","401","001","","38","3.697","60.5","34.2","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Elizabthn Drama&Shakespeare","416","001","","34","3.318","29.4","32.4","20.6","11.8",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"","418","001","","40","3.575","37.5","40.0","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418","002","","36","2.557","16.7","13.9","13.9","16.7","16.7","16.7","2.8",".",".",".",".",".",".",".",".","2.8"
"Shakespeare","","Course Total","","76","3.100","27.6","27.6","18.4","7.9","7.9","7.9","1.3",".",".",".",".",".",".",".",".","1.3"
"English Novel: 19th Cent","460","002","","26","3.300","50.0","11.5","23.1",".","3.8",".","7.7","3.8",".",".",".",".",".",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","32","2.861","18.8","6.3","46.9","6.3","15.6","3.1","3.1",".",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","","24","3.412","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Figures of Contemp Eng Lit","500","001","","35","3.657","37.1","57.1","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","504","001","","29","3.586","48.3","34.5","6.9","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","24","3.065","12.5","29.2","33.3","8.3","8.3","4.2",".","4.2",".",".",".",".",".",".",".","."
"Recent Poetry in English","512","009","","29","3.207","48.3","17.2","17.2","3.4","3.4",".","10.3",".",".",".",".",".",".",".",".","."
"","550","001","","27","3.500","29.6","40.7","29.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550","002","","35","3.729","54.3","37.1","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","","Course Total","","62","3.629","43.5","38.7","17.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","553","001","","28","3.056","14.3","35.7","14.3","17.9","10.7","3.6",".","3.6",".",".",".",".",".",".",".","."
"","553","002","","37","3.819","64.9","29.7","2.7",".",".",".",".",".",".",".",".",".",".","2.7",".","."
"Modern Critical Theories","","Course Total","","65","3.492","43.1","32.3","7.7","7.7","4.6","1.5",".","1.5",".",".",".",".",".","1.5",".","."
"Studies in Narrative Lit","563","001","","30","3.190","30.0","10.0","43.3","6.7","3.3",".","3.3",".",".",".",".",".",".","3.3",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","21","3.143","33.3","14.3","38.1","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593","001","","24","3.396","29.2","33.3","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","","27","3.308","37.0","22.2","22.2",".","11.1","3.7",".","3.7",".",".",".",".",".",".",".","."
"Major American Poets","613","001","","39","3.329","30.8","15.4","41.0","7.7","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Theme in 19th C Amer Lit","626","001","","24","3.146","20.8","29.2","29.2","16.7",".",".","4.2",".",".",".",".",".",".",".",".","."
"Mod Amer Lit Since 1914","633","001","","39","3.219","17.9","23.1","20.5","17.9","2.6",".",".","10.3",".",".",".",".","2.6","5.1",".","."
"Maj Amer Novelists-1914-45","635","001","","40","3.403","32.5","30.0","25.0","5.0","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"","681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 203 of 392",""
