"","999
017","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
019","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","9","4.000","44.4",".",".",".",".",".",".","44.4","",".",".","",".","11.1",".",".",".","."
"HDFS
230","Dept. Total","1119","3.290","32.7","19.6","19.1","10.9","5.2","1.8","0.5","4.2","",".","4.5","",".","1.3","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.000",".","50.0",".","50.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","150","3.135","26.0","17.3","30.7","13.3","8.7","2.0","0.7","1.3","",".",".","",".",".",".",".",".","."
"Junior","","348","3.352","40.2","22.1","18.1","11.8","5.7","1.7","0.3",".","",".",".","",".",".",".",".",".","."
"Senior","","521","3.252","27.8","20.7","20.0","11.1","4.6","1.9","0.6","3.6","",".","9.6","",".",".",".",".",".","."
"Undergraduates","","1021","3.270","31.7","20.8","20.9","11.8","5.6","1.9","0.5","2.1","",".","4.9","",".",".",".",".",".","."
"Special","","10","2.750","20.0","30.0",".","10.0",".","10.0","10.0",".","",".",".","",".",".","20.0",".",".","."
"Graduate","","82","3.902","46.3","1.2","1.2",".","1.2",".",".","31.7","",".",".","",".","18.3",".",".",".","."
"Prof Yr 1","","3","3.167",".","66.7",".","33.3",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","3","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","6","3.500","33.3","50.0",".","16.7",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1119","3.290","32.7","19.6","19.1","10.9","5.2","1.8","0.5","4.2","",".","4.5","",".","1.3","0.2",".",".","."
