"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.895","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"727
Advanced Hydrogeology","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"737
Conducted Field Trip","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"793
Geophysical Inverse Theory","001","","10","3.778","70.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"875","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","007","","7","3.800","57.1",".","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","47","3.955","66.0",".","2.1",".",".",".",".","31.9",".",".",".",".",".",".",".","."
"916
Metallic Mineral Deposits","001","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"920
Glacial & Pleistocene Geol","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"929
Seminar-Hydrogeology","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","59","",".",".",".",".",".",".",".","71.2","3.4",".",".","25.4",".",".",".","."
"991
Seminar: Geophysics","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Adv Independent Reading","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
