"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","98","2.750","13.3","7.1","41.8","8.2","22.4","6.1","1.0",".",".",".",".",".",".",".",".","."
"","300
002","218","3.007","14.7","16.5","43.1","9.6","13.8","1.8",".","0.5",".",".",".",".",".",".",".","."
"","300
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
300","113","3.013","33.6","8.8","29.2","4.4","14.2","6.2","2.7","0.9",".",".",".",".",".",".",".","."
"","300
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","437","2.952","19.9","12.4","38.7","7.8","15.8","3.9","1.1","0.5",".",".",".",".",".",".",".","."
"","305
001","75","3.113","32.0","14.7","22.7","10.7","17.3","2.7",".",".",".",".",".",".",".",".",".","."
"","305
002","69","2.813","17.4","11.6","29.0","7.2","26.1","5.8",".","2.9",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","144","2.972","25.0","13.2","25.7","9.0","21.5","4.2",".","1.4",".",".",".",".",".",".",".","."
"Contemporary Topics","365
003","11","3.722","45.5","27.3","9.1",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","9","3.786","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
133","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
200","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
208","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","16","3.813","81.3",".","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","47","3.670","40.4","53.2","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","33","3.303","21.2","30.3","36.4","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","43","3.616","65.1","2.3","27.9",".","4.7",".",".",".",".",".",".",".",".",".",".","."
"","420
002","38","3.750","68.4","13.2","18.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","81","3.679","66.7","7.4","23.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","001
422","42","3.551","33.3","35.7","23.8",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","423
001","37","3.311","18.9","37.8","29.7","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
423","26","3.231","19.2","30.8","34.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","63","3.278","19.0","34.9","31.7","11.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","001
610","21","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","40","3.487","37.5","30.0","22.5","5.0","2.5",".",".","2.5",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","31","3.532","45.2","32.3","16.1","3.2",".","3.2",".",".",".",".",".",".",".",".",".","."
"","700
001","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","6","3.250","50.0",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","21","3.548","52.4","19.0","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","001
701","35","3.985","94.3","2.9",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","701
002","32","3.875","78.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
701","41","3.805","73.2","14.6","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","Course Total","108","3.883","81.5","12.0","5.6",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"","702
001","29","3.793","65.5","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
702","30","3.586","43.3","33.3","16.7",".","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"","702
030","41","3.744","58.5","31.7","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","Course Total","100","3.712","56.0","31.0","11.0",".","1.0",".",".",".",".",".",".",".",".","1.0",".","."
"Global Issues in Management","703
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","705
001","27","3.685","40.7","55.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","19","3.528","42.1","26.3","15.8","10.5",".",".",".",".",".",".",".",".",".",".","5.3","."
