"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"530","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"530","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","","4","***","","","","","","","","","","","","","","","",""
"597
Tech&Professnl Communicatn","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Communicating Technical Info","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","Course Total","","5","***","","","","","","","","","","","","","","","",""
"654
Teaching in Science & Engr","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","003","","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","025","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","37","3.865","78.4","16.2","2.7",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E P D
348","Dept. Total","","786","3.660","60.7","19.1","12.7","4.3","1.1","0.1","0.6","0.3",".","0.1",".",".","0.5","0.3","0.1","."
