"","999
066","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
067","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
092","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Indep Study & Research","Course Total","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".","",".",".",".",".",".","."
"COMP SCI
266","Dept. Total","2496","3.093","29.1","17.3","19.9","11.9","8.2","3.7","2.3","6.5","0.2",".","",".","0.2","0.1","0.4","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","184","2.448","5.4","15.8","25.0","20.1","14.7","8.7","8.7",".",".",".","",".",".",".","1.6",".","."
"Sophomore","","482","2.842","17.0","15.1","27.8","20.3","12.2","5.2","2.3",".",".",".","",".",".",".",".",".","."
"Junior","","456","2.992","20.4","20.0","26.1","16.0","11.0","3.5","1.8","0.9",".",".","",".",".",".","0.4",".","."
"Senior","","672","3.096","32.1","19.6","19.5","11.8","8.5","4.9","3.0",".","0.1",".","",".",".",".","0.3",".","0.1"
"Undergraduates","","1794","2.939","22.4","18.1","24.0","16.0","10.8","5.0","3.1","0.2","0.1",".","",".",".",".","0.4",".","0.1"
"Special","","63","3.361","44.4","11.1","23.8","4.8","6.3","3.2",".","4.8",".",".","",".",".",".",".",".","1.6"
"Graduate","","639","3.694","46.6","15.8","8.1","1.1","1.3","0.2","0.5","24.4","0.5",".","",".","0.6","0.3","0.3","0.3","."
"","Dept. Total","2496","3.093","29.1","17.3","19.9","11.9","8.2","3.7","2.3","6.5","0.2",".","",".","0.2","0.1","0.4","0.1","0.1"
