"","990
051","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
053","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
055","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","14","",".",".",".",".",".",".",".","78.6",".",".",".","21.4","",".",".",".","."
"ANATOMY
144","Dept. Total","616","3.001","31.2","15.3","20.3","9.3","13.8","5.4","1.3","2.9",".",".",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","2.063",".",".","36.4","18.2","18.2","18.2","9.1",".",".",".",".",".","",".",".",".","."
"Sophomore","","139","2.728","18.7","13.7","28.1","9.4","17.3","12.2","0.7",".",".",".",".",".","",".",".",".","."
"Junior","","186","2.910","25.8","14.5","20.4","14.0","19.4","4.3","1.1","0.5",".",".",".",".","",".",".",".","."
"Senior","","205","3.217","39.5","20.5","18.0","5.4","11.2","2.9","1.0","1.5",".",".",".",".","",".",".",".","."
"Undergraduates","","541","2.956","28.7","16.3","21.8","9.6","15.7","6.1","1.1","0.7",".",".",".",".","",".",".",".","."
"Special","","20","2.839","25.0","15.0","25.0","25.0",".",".","10.0",".",".",".",".",".","",".",".",".","."
"Graduate","","46","3.800","50.0","6.5","4.3",".",".",".",".","30.4",".",".",".","8.7","",".",".",".","."
"Prof Yr 4","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","616","3.001","31.2","15.3","20.3","9.3","13.8","5.4","1.3","2.9",".",".",".","0.6","",".",".",".","."
