"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","458","2.762","15.5","13.1","28.6","13.1","21.4","7.0","1.3",".",".",".",".",".",".",".",".","."
"","101
002","432","2.646","13.0","8.3","30.3","15.0","22.2","8.1","2.1","0.7",".",".",".",".","0.2",".",".","."
"Animal Biology","Course Total","890","2.706","14.3","10.8","29.4","14.0","21.8","7.5","1.7","0.3",".",".",".",".","0.1",".",".","."
"","001
102","26","3.635","46.2","34.6","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","27","3.519","33.3","44.4","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","24","3.565","33.3","41.7","20.8",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","102
004","26","3.154","30.8","15.4","34.6",".","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"","102
005","27","3.333","18.5","37.0","37.0","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","27","3.648","59.3","25.9","7.4",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"","007
102","26","3.462","46.2","23.1","19.2","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"","102
008","27","3.630","44.4","40.7","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","29","3.793","69.0","24.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","29","3.155","20.7","31.0","27.6","13.8","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","102
011","25","3.520","44.0","16.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
012","28","3.536","57.1","10.7","21.4","3.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","013
102","27","3.315","33.3","29.6","25.9","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"","102
014","28","3.500","46.4","17.9","21.4","7.1","3.6",".",".",".",".",".",".",".",".","3.6",".","."
"","015
102","29","3.862","79.3","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","29","3.517","44.8","37.9","10.3","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"","017
102","30","3.550","43.3","30.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","27","3.667","63.0","29.6","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"","102
019","25","3.700","52.0","40.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","25","3.440","40.0","36.0","16.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"","102
021","25","3.720","64.0","16.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
022","27","3.630","48.1","29.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
023","22","3.068","9.1","31.8","40.9","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","615","3.522","45.0","28.5","19.2","3.7","2.0","0.5","0.8",".",".",".",".",".","0.2","0.2",".","."
"Genetics and Human Affairs","001
133","26","2.577","26.9","3.8","19.2","11.5","19.2","11.5","7.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","172","2.763","19.8","8.1","30.8","7.6","24.4","7.0","1.7",".",".",".",".",".",".",".","0.6","."
"","152
001","186","2.836","10.2","14.5","44.6","7.5","16.1","7.0",".",".",".",".",".",".",".",".",".","."
"","002
152","170","2.955","22.9","8.2","41.2","6.5","14.1","3.5","2.4",".",".",".",".",".","1.2",".",".","."
"","152
003","176","3.295","37.5","17.0","30.1","3.4","9.7","1.7","0.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","532","3.026","23.3","13.3","38.7","5.8","13.3","4.1","0.9",".",".",".",".",".","0.4",".",".","."
"Biology Forum","258
001","39","3.603","46.2","38.5","10.3",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","82","2.895","20.7","9.8","29.3","13.4","23.2","1.2","1.2","1.2",".",".",".",".",".",".",".","."
"Biology Forum (Honors)","285
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","16","3.281","25.0","25.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","126","2.949","27.0","7.1","34.9","4.0","18.3","6.3","0.8","1.6",".",".",".",".",".",".",".","."
"Parasitology","350
001","102","2.632","15.7","6.9","34.3","2.0","32.4","3.9","4.9",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","23","3.217","21.7","21.7","39.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","400
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","71","3.345","40.8","25.4","15.5","9.9","4.2","2.8","1.4",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","77","3.391","42.9","24.7","15.6","9.1","3.9","2.6","1.3",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","142","2.766","21.1","11.3","20.4","11.3","28.2","4.9","2.1","0.7",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 314 of 392",""
