"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"496
Stdt Teaching-English in HS","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"497
Stdt Teach-Middle Schl Math","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"498","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","Course Total","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"501
Health Info for Teachers","001","","80","3.949","88.8","10.0",".",".",".",".",".",".",".",".",".",".",".",".","1.3","."
"503
Literacy Across the Curriculum","001","","24","3.870","70.8","25.0",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"506
Strategy-Inclusive Schoolng","001","","78","3.769","70.5","23.1","2.6",".","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"514
Instrctnl Computn-Schools I","001","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"537","001","","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"537","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"537","003","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Diverse Learners","Course Total","","64","3.953","92.2","6.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Org&Adm-School Hlth Progms","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"542
Teacher Ed-Alcohol & Drugs","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Drama in Educ: Adv Studies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"564
Adv Prob-Tchg Foreign Lang","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"566
Pract-Spec Ed in the Arts","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"603
Dsgn&Prod Elec Instr Matrls","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"607
Educational Media","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"620
Fld Proj-Lib&Info Agencies","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"626","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"626","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Action Research in Schools","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Wrkshp-Schl Program Develop","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Early Childhood Education","001","","29","3.674","44.8","44.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"662
Elem School Curriculum","001","","21","3.950","85.7","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"672
Issues in ESL Education","001","","21","3.611","61.9","9.5","9.5",".",".",".","4.8",".",".",".",".",".","14.3",".",".","."
"675","001","","6","3.750","50.0",".","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"675","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Seminar","Course Total","","14","3.903","78.6",".","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"690","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","084","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Field Work","Course Total","","17","3.821","76.5","11.8","5.9",".",".",".",".",".",".",".",".","5.9",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 86 of 392"
