"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Intro to Literary Analysis","Course Total","","34","3.544","50.0","32.4","11.8",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","","14","3.726","50.0","35.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","299
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Practical French Converstn","001
302","","37","3.946","89.2","10.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","15","3.284","20.0","33.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","311
002","","15","3.295","6.7","66.7","6.7",".","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","30","3.289","13.3","50.0","23.3",".","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","001
312","","11","3.556","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Business French","314
001","","14","3.539","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","14","3.656","57.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","22","3.658","45.5","40.9","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","36","3.657","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","001
322","","14","3.711","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","3.557","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","30","3.628","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","12","3.645","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
002","","13","3.500","53.8","7.7","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","25","3.569","52.0","20.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Civ France:Revolutn-contemp","348
001","","7","3.409",".","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","429
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","429
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Romance Languages","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Lit-Middle Age&Renas","430
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Questions de Civ Francaise","449
000A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"French Film","455
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","461
000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","18","3.863","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech d Exprssn Ecrit&Oral I","523
001","","8","3.500","25.0","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","531
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","","8","3.865","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Roman Francais-XXe Siecle","648
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
