"","990
020","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
060","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","","","","",""
"Independent Reading","999
001","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"IND REL
492","Dept. Total","","94","3.280","28.7","13.8","19.1","8.5","8.5","",".","1.1","13.8","",".","1.1","",".","1.1","2.1",".","2.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","2.000",".",".",".",".","100.0","",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","12","2.625","25.0","8.3","16.7",".","41.7","",".","8.3",".","",".",".","",".",".",".",".",".","."
"Senior","","","24","3.131","25.0","8.3","25.0","25.0","8.3","",".",".",".","",".","4.2","",".",".","4.2",".",".","."
"Undergraduates","","","37","2.934","24.3","8.1","21.6","16.2","21.6","",".","2.7",".","",".","2.7","",".",".","2.7",".",".","."
"Special","","","1","2.500",".",".",".","100.0",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","","54","3.595","33.3","16.7","16.7","1.9",".","",".",".","24.1","",".",".","",".","1.9","1.9",".","3.7","."
"Prof Yr 2","","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","","2","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","","94","3.280","28.7","13.8","19.1","8.5","8.5","",".","1.1","13.8","",".","1.1","",".","1.1","2.1",".","2.1","."
