"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","190","2.816","12.1","17.9","25.3","26.3","11.6","5.8","1.1",".",".",".",".",".",".",".",".","."
"","102
001","43","3.523","44.2","30.2","20.9",".","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","102
002","37","3.500","37.8","29.7","21.6","8.1",".",".",".","2.7",".",".",".",".",".",".",".","."
"","003
102","47","3.447","31.9","42.6","17.0",".","8.5",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","127","3.488","37.8","34.6","19.7","2.4","3.9","0.8",".","0.8",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
058","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiology","303
001","144","2.762","16.0","16.0","19.4","13.2","29.9","3.5","1.4","0.7",".",".",".",".",".",".",".","."
"","304
001","35","3.086","20.0","14.3","42.9","8.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","002
304","35","3.235","22.9","34.3","28.6",".","8.6",".","2.9",".",".",".",".",".",".","2.9",".","."
"","304
003","37","3.149","21.6","16.2","40.5","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","107","3.156","21.5","21.5","37.4","7.5","10.3",".","0.9",".",".",".",".",".",".","0.9",".","."
"Host-Parasite Interactions","330
001","36","3.214","38.9","16.7","19.4","2.8","13.9","5.6",".",".",".",".",".",".",".",".",".","2.8"
"Bacterial Genetics","370
001","56","2.750","21.4",".","30.4","17.9","25.0","3.6","1.8",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Microbiology","425
001","10","2.611","10.0","20.0","20.0","10.0","20.0",".","10.0",".",".",".",".",".","10.0",".",".","."
"Rumen Microbiology","505
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","531
001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biotechnology","545
001","42","3.925","83.3","9.5","2.4",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Physiol Divrsty-Procaryotes","550
001","62","2.885","17.7","17.7","22.6","17.7","16.1","6.5",".",".",".",".",".",".",".",".",".","1.6"
"","551
001","7","3.429","57.1",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","17","3.324","23.5","17.6","58.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","22","3.205","13.6","40.9","31.8",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","551
004","11","3.045",".","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","57","3.237","19.3","28.1","38.6","8.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Microbiol-Atomic Resolution","568
001","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indus Microbiol/Biotechnlgy","632
001","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microbiol/Food Pathgens","650
001","12","3.091","16.7","8.3","41.7","25.0",".",".",".",".",".",".",".",".",".","8.3",".","."
"Senior Honors Thesis","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 8 of 392"
