"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","28","3.107","28.6","17.9","32.1","3.6","10.7","7.1",".",".",".",".",".",".",".",".",".","."
"","002
100","29","2.569","17.2",".","44.8","3.4","17.2","10.3","6.9",".",".",".",".",".",".",".",".","."
"","003
100","36","2.764","16.7","8.3","44.4",".","19.4","8.3","2.8",".",".",".",".",".",".",".",".","."
"","100
004","22","2.955","22.7","9.1","45.5",".","18.2",".","4.5",".",".",".",".",".",".",".",".","."
"","100
005","36","2.972","19.4","5.6","52.8",".","19.4","2.8",".",".",".",".",".",".",".",".",".","."
"","006
100","24","2.833","29.2",".","33.3",".","29.2","8.3",".",".",".",".",".",".",".",".",".","."
"","100
007","40","2.925","20.0","17.5","35.0","2.5","17.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"","008
100","27","3.130","33.3","7.4","37.0","3.7","14.8","3.7",".",".",".",".",".",".",".",".",".","."
"","009
100","38","3.132","28.9","10.5","44.7","5.3","2.6","7.9",".",".",".",".",".",".",".",".",".","."
"","100
010","27","2.852","14.8","7.4","48.1",".","25.9","3.7",".",".",".",".",".",".",".",".",".","."
"","100
011","37","2.824","13.5","13.5","45.9",".","18.9","5.4","2.7",".",".",".",".",".",".",".",".","."
"","100
012","40","2.450","12.5","10.0","32.5","10.0","15.0","7.5","12.5",".",".",".",".",".",".",".",".","."
"","100
013","24","2.271","16.7",".","29.2","4.2","20.8","20.8","8.3",".",".",".",".",".",".",".",".","."
"","100
014","36","2.875","19.4","8.3","38.9","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","015
100","36","2.542","13.9","2.8","47.2",".","13.9","19.4","2.8",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","480","2.814","20.0","8.3","41.0","2.7","17.3","7.7","2.9",".",".",".",".",".",".",".",".","."
"","001
211","19","3.026","26.3","21.1","26.3","5.3","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"","211
002","36","3.222","30.6","5.6","50.0","5.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"","211
003","25","3.120","20.0","16.0","40.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","004
211","37","3.203","18.9","27.0","37.8","8.1","8.1",".",".",".",".",".",".",".",".",".",".","."
"","211
005","28","3.214","21.4","28.6","35.7",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","211
006","37","3.189","21.6","27.0","35.1","5.4","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"","211
007","27","3.370","48.1","3.7","33.3","3.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","211
008","40","3.225","30.0","12.5","35.0","17.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","009
211","16","3.281","31.3","25.0","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","010
211","37","3.203","24.3","24.3","29.7","10.8","10.8",".",".",".",".",".",".",".",".",".",".","."
"","211
011","42","3.143","19.0","21.4","40.5","7.1","11.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","344","3.201","25.9","19.2","36.6","8.1","9.0","1.2",".",".",".",".",".",".",".",".",".","."
"","300
001","40","2.769",".","20.0","35.0","25.0","15.0","2.5",".",".",".",".",".",".","2.5",".",".","."
"","300
002","30","2.867","16.7","16.7","30.0","16.7","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","300
003","41","3.175","14.6","29.3","34.1","14.6","4.9",".",".","2.4",".",".",".",".",".",".",".","."
"","300
004","27","2.870","18.5","7.4","37.0","18.5","11.1","7.4",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","138","2.930","11.6","19.6","34.1","18.8","10.1","4.3",".","0.7",".",".",".",".","0.7",".",".","."
"","301
001","31","2.952","35.5","9.7","22.6","6.5","12.9","9.7","3.2",".",".",".",".",".",".",".",".","."
"","002
301","44","2.898","27.3","6.8","29.5","9.1","20.5","4.5","2.3",".",".",".",".",".",".",".",".","."
"","301
003","41","2.838","19.5","9.8","34.1","2.4","26.8","2.4","2.4","2.4",".",".",".",".",".",".",".","."
"","301
004","34","3.338","29.4","44.1","5.9","11.8","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","005
301","39","3.192","17.9","33.3","28.2","15.4","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","189","3.035","25.4","20.1","24.9","9.0","14.3","4.2","1.6","0.5",".",".",".",".",".",".",".","."
"","302
001","22","2.864","13.6","13.6","31.8","13.6","27.3",".",".",".",".",".",".",".",".",".",".","."
"","302
002","39","3.000","23.1","7.7","41.0","2.6","25.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","61","2.951","19.7","9.8","37.7","6.6","26.2",".",".",".",".",".",".",".",".",".",".","."
"","310
001","34","3.191","29.4","11.8","41.2","8.8","5.9","2.9",".",".",".",".",".",".",".",".",".","."
"","310
002","30","3.133","6.7","30.0","50.0","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","64","3.164","18.8","20.3","45.3","9.4","4.7","1.6",".",".",".",".",".",".",".",".",".","."
