"TERM : 1024","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2001-2002","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","444","3.735","56.3","31.8","6.1","1.8","",".","",".","0.2","2.7","",".",".","",".","",".","1.1",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","3.667","33.3","66.7",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","8","3.813","62.5","37.5",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","11","3.773","54.5","45.5",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","32","3.516","34.4","37.5","18.8","6.3","",".","",".",".",".","",".",".","",".","",".","3.1",".",".","."
"Graduate","401","3.751","58.1","30.9","5.2","1.5","",".","",".","0.2","3.0","",".",".","",".","",".","1.0",".",".","."
"Dept. Total","444","3.735","56.3","31.8","6.1","1.8","",".","",".","0.2","2.7","",".",".","",".","",".","1.1",".",".","."
