"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Intro:Probabilty-Biologists","231
001","12","2.083","16.7",".","25.0","16.7","8.3","8.3","25.0",".",".",".",".",".",".",".",".","."
"Intro:Dynamicl Sys-Biolgsts","232
001","13","3.269","30.8","38.5","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","234
001","172","2.819","14.0","18.6","31.4","14.0","11.6","7.0","2.9","0.6",".",".",".",".",".",".",".","."
"","234
002","198","2.333","15.7","3.5","23.2","8.6","26.8","13.6","8.6",".",".",".",".",".",".",".",".","."
"","003
234","134","2.403","14.9","6.0","19.4","9.0","32.8","13.4","4.5",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","504","2.517","14.9","9.3","25.0","10.5","23.2","11.3","5.6","0.2",".",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","001
240","77","2.993","16.9","13.0","45.5","6.5","13.0","3.9",".",".",".",".",".",".",".","1.3",".","."
"Topics in Calculus II","276
001","9","3.222","55.6",".","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","79","",".",".",".",".",".",".",".",".",".","93.7","6.3",".",".",".",".","."
"Theory-Interst & Life Insur","303
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
001","33","2.667","18.2","15.2","24.2","9.1","21.2","3.0","9.1",".",".",".",".",".",".",".",".","."
"","319
003","42","2.915","21.4","14.3","23.8","16.7","14.3","7.1",".",".",".",".",".",".",".","2.4",".","."
"","004
319","35","2.571","14.3","20.0","20.0","8.6","20.0","8.6","8.6",".",".",".",".",".",".",".",".","."
"","319
005","44","2.818","20.5","11.4","29.5","15.9","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","006
319","32","2.844","31.3","6.3","21.9","12.5","15.6","9.4","3.1",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","186","2.770","21.0","13.4","24.2","12.9","16.7","6.5","4.8",".",".",".",".",".",".","0.5",".","."
"","320
001","39","2.859","20.5","10.3","25.6","17.9","20.5","5.1",".",".",".",".",".",".",".",".",".","."
"","320
003","40","2.688","10.0","15.0","32.5","7.5","27.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"","320
004","38","2.974","36.8","7.9","18.4","2.6","26.3","7.9",".",".",".",".",".",".",".",".",".","."
"","320
005","42","2.683","23.8","4.8","26.2","4.8","26.2","7.1","4.8",".",".",".",".",".",".","2.4",".","."
"","320
006","40","2.667","12.5","12.5","27.5","22.5","10.0","7.5","5.0","2.5",".",".",".",".",".",".",".","."
"","007
320","44","2.802","18.2","6.8","40.9","4.5","20.5","2.3","4.5",".","2.3",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","243","2.777","20.2","9.5","28.8","9.9","21.8","5.8","2.9","0.4","0.4",".",".",".",".","0.4",".","."
"Appl Mathematical Analysis","321
001","28","2.907","28.6","3.6","32.1",".","28.6",".","3.6","3.6",".",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","16","3.156","37.5","12.5","18.8","6.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","340
002","31","2.726","16.1","16.1","29.0",".","29.0","6.5","3.2",".",".",".",".",".",".",".",".","."
"","003
340","37","2.703","18.9","16.2","13.5","16.2","24.3","8.1","2.7",".",".",".",".",".",".",".",".","."
"","340
004","34","2.941","20.6","11.8","41.2","5.9","14.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"","340
005","39","2.833","23.1","12.8","25.6","10.3","17.9","7.7","2.6",".",".",".",".",".",".",".",".","."
"","006
340","33","2.409","15.2","12.1","18.2","21.2","6.1","18.2","9.1",".",".",".",".",".",".",".",".","."
"","007
340","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","188","2.782","20.7","14.9","24.5","10.6","17.6","8.0","3.7",".",".",".",".",".",".",".",".","."
"Basic Concepts of Math","371
001","21","2.950","19.0","23.8","14.3","14.3","19.0","4.8",".","4.8",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","375
001","8","3.313","37.5","12.5","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
001","24","2.826","20.8","8.3","25.0","8.3","29.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","002
431","32","2.806","15.6","21.9","18.8","15.6","15.6","6.3","3.1","3.1",".",".",".",".",".",".",".","."
"","003
431","17","2.912","35.3","11.8","23.5","5.9","5.9","11.8","5.9",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","73","2.838","21.9","15.1","21.9","11.0","17.8","6.8","2.7","2.7",".",".",".",".",".",".",".","."
"Intro to Modern Algebra","441
001","14","3.179","21.4","35.7","21.4",".","21.4",".",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461
001","17","3.676","64.7","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 248 of 392",""
