"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","",""
"NUR","College Total","1369","3.719","58.2","25.1","9.8","2.2","0.6","0.1","",".","3.1","",".","0.5",".","0.2","0.1",".",".","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","NW","NR","Other"
"NUR","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","45","3.713","68.9","15.6","6.7","2.2","2.2","2.2","",".",".","",".",".",".",".","2.2",".",".","."
"Sophomore","","67","3.711","62.7","17.9","11.9","7.5",".",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","207","3.614","46.4","32.9","17.4","1.4","0.5",".","",".",".","",".","1.0",".",".",".",".",".","0.5"
"Senior","","699","3.707","56.5","29.8","9.0","2.9","0.7",".","",".","0.1","",".","0.7",".",".","0.1",".",".","0.1"
"Undergraduates","","1018","3.688","55.4","29.0","10.8","2.8","0.7","0.1","",".","0.1","",".","0.7",".",".","0.2",".",".","0.2"
"Special","","35","3.604","57.1","17.1","17.1",".","2.9",".","",".","5.7","",".",".",".",".",".",".",".","."
"Graduate","","316","3.859","67.4","13.3","5.7","0.3",".",".","",".","12.3","",".",".",".","0.9",".",".",".","."
"","College Total","1369","3.719","58.2","25.1","9.8","2.2","0.6","0.1","",".","3.1","",".","0.5",".","0.2","0.1",".",".","0.1"
