"L&S","","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","440","3.385","24.1","37.0","34.3","2.3","1.6","0.7",".",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202
001","","99","3.303","15.2","33.3","48.5","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
335","","12","3.042","8.3","16.7","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","335
004","","8","3.250","12.5","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","31","3.306","22.6","32.3","32.3","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"","345
002","","29","3.207","3.4","41.4","48.3","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","345
003","","33","3.712","81.8","3.0","3.0",".","12.1",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","62","3.476","45.2","21.0","24.2","3.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"","401
001","","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"In-Depth Reporting","Course Total","","17","3.500","41.2","41.2","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","001
405","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
405","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","Course Total","","28","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Graphics&Community","411
001","","16","3.406","25.0","31.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web &","Course Total","","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","447
001","","41","3.663","53.7","26.8","14.6",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","001
449","","30","3.650","53.3","23.3","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","","12","3.292",".","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","","80","3.323","32.5","20.0","35.0","6.3","3.8",".","1.3","1.3",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","76","3.428","31.6","39.5","19.7","6.6","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"History of Books&Printing","570
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"International Communication","620
001","","23","3.000","30.4","17.4","39.1",".",".",".","13.0",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","646
001","","115","3.779","64.3","24.3","9.6",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","","25","3.660","44.0","44.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
001","","23","3.543","39.1","39.1","13.0","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","676
014","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
036","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","","55","3.736","61.8","27.3","7.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
006","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 237 of 392",""
