"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY & GEOPHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"GEOLOGY
420","Dept. Total","1807","2.926","20.1","12.7","27.6","11.7","14.3","3.8","1.5","6.5","0.2","0.1","",".","0.8","0.1","0.6","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","295","2.686","13.2","9.8","29.2","13.2","23.1","8.1","2.0",".",".",".","",".",".",".","1.4",".","."
"Sophomore","","419","2.933","17.4","12.6","33.7","14.1","16.0","4.1","1.0","0.2",".","0.2","",".",".",".","0.7",".","."
"Junior","","401","2.897","20.2","15.0","29.4","13.2","17.0","3.5","1.2","0.2",".","0.2","",".",".",".",".",".","."
"Senior","","480","2.980","20.0","14.8","30.0","12.3","11.7","2.7","2.3","5.4","0.2",".","",".",".",".","0.6",".","."
"Undergraduates","","1595","2.879","18.1","13.4","30.7","13.2","16.2","4.3","1.6","1.8","0.1","0.1","",".",".",".","0.6",".","."
"Special","","26","3.412","38.5","11.5","19.2","3.8",".",".","3.8","15.4",".",".","",".",".","3.8","3.8",".","."
"Graduate","","183","3.819","35.0","6.6","2.7",".",".",".",".","45.9","1.1",".","",".","8.2",".",".","0.5","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Professionals","","3","3.667","33.3","33.3",".",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"","Dept. Total","1807","2.926","20.1","12.7","27.6","11.7","14.3","3.8","1.5","6.5","0.2","0.1","",".","0.8","0.1","0.6","0.1","."
