"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","228","3.131","12.3","23.7","43.0","18.0","2.2",".",".","0.9",".",".",".",".",".",".",".","."
"","002
300","260","3.039","10.4","16.5","47.7","20.4","2.3","1.2",".","1.5",".",".",".",".",".",".",".","."
"","300
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","Course Total","490","3.086","11.6","19.8","45.3","19.2","2.2","0.6",".","1.2",".",".",".",".",".",".",".","."
"","001
305","55","3.336","30.9","29.1","23.6","9.1","7.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","47","3.351","12.8","48.9","34.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","305
003","39","3.461","15.4","64.1","15.4",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","141","3.375","20.6","45.4","24.8","5.0","3.5",".",".","0.7",".",".",".",".",".",".",".","."
"","310
001","47","3.649","40.4","48.9","10.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
310","16","3.563","31.3","50.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
310","44","3.193","18.2","31.8","22.7","25.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","107","3.449","29.9","42.1","16.8","10.3","0.9",".",".",".",".",".",".",".",".",".",".","."
"","365
001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
207","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
001","55","3.409","23.6","43.6","27.3","1.8","3.6",".",".",".",".",".",".",".",".",".",".","."
"","002
415","44","3.455","34.1","38.6","20.5","2.3","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","99","3.429","28.3","41.4","24.2","2.0","3.0","1.0",".",".",".",".",".",".",".",".",".","."
"","001
425","49","3.367","14.3","44.9","40.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","62","3.548","35.5","41.9","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","111","3.468","26.1","43.2","28.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","35","3.371","20.0","51.4","25.7",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"","460
002","40","3.613","30.0","62.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","31","3.516","25.8","51.6","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
004","33","3.788","63.6","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","139","3.572","34.5","49.6","15.1",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"Sales Management","002
635","52","3.827","71.2","23.1","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","41","3.110","9.8","29.3","39.0","17.1","4.9",".",".",".",".",".",".",".",".",".",".","."
"","640
002","42","3.275","28.6","23.8","23.8","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"Retail Management","Course Total","83","3.191","19.3","26.5","31.3","13.3","7.2",".",".","2.4",".",".",".",".",".",".",".","."
"","700
001","36","3.431","25.0","38.9","33.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","41","3.598","24.4","70.7","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","77","3.519","24.7","55.8","18.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","43","3.500","25.6","48.8","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","36","3.764","52.8","47.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Communications","715
030","39","3.795","59.0","41.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","720
001","33","3.339","15.2","42.4","27.3","9.1",".",".",".","6.1",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","33","3.470","27.3","39.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","7","3.750","57.1","14.3","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","33","3.797","60.6","33.3","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","799
131","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
