"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","244
001","","15","3.467","60.0","13.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","244
002","","17","3.118","17.6","35.3","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","244
003","","20","3.211","30.0","40.0","15.0",".",".",".","10.0",".",".",".",".",".","5.0",".",".","."
"Art Metal I","Course Total","","52","3.255","34.6","30.8","21.2","3.8",".",".","7.7",".",".",".",".",".","1.9",".",".","."
"","246
001","","17","3.588","47.1","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","27","3.593","44.4","33.3","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","23","3.630","39.1","56.5",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","13","3.538","30.8","61.5",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","13","3.667","38.5","46.2","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","312
002","","16","3.719","68.8","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","29","3.696","55.2","24.1","17.2",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Sculpture II","001
314","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","11","3.136","9.1","18.2","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"Intermediate Painting I","Course Total","","17","3.688","47.1","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","324
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","Course Total","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","11","3.500","72.7","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","22","3.659","68.2","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","332
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
003","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","23","3.717","47.8","47.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal II","344
001","","10","3.056","20.0","30.0","30.0",".",".",".","10.0",".",".",".",".",".","10.0",".",".","."
"","346
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","18","3.639","50.0","27.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","32","3.797","71.9","15.6","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","001
366","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 72 of 392"
