"EGR","","","","","","","","","","","","","","","","","","","",""
"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"596","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"596","002","","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"596","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructability Analysis","Course Total","","24","3.826","70.8","16.7","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"609
Spec Topics-Water Chemistry","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618
Topic-Hydraulics&Fluid Mech","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"628
Envir Engr Design Project","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Toxicants in the Environmnt","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"639
Topics-Geotechnical Engr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"641
Highway Bridges","001","","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"649
Specl Topic-Structural Engr","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Computerzd Land Info Systms","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"659
Topic-Survey & Photogramtry","001","","7","3.500","28.6","14.3","28.6",".",".",".",".","14.3",".",".",".",".",".",".","14.3","."
"679
Topic-Transprtatn&City Plan","002","","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"698","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics:Constructn Engr&Mgmt","Course Total","","27","4.000","92.6",".",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"699","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","3.982","92.3","3.8",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"712
Problems of Turbulent Flow","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"718
Water Res Mgt Pract Pl Smr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729
Spec Topics-Sanitary Engr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"744
Struc Dynamics&Earthquake Engr","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
