"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Yiddish Lit-US (in Transl)","279
001","36","3.580","22.2","69.4","5.6",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Prophets of the Bible","332
001","14","3.615","50.0","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".","."
"Jewish Lit: Greco-Roman Period","346
001","6","2.833","16.7","16.7","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","369
001","69","3.259","13.0","46.4","30.4","4.3","2.9",".","1.4","1.4",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","371
001","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Ancient Jewish Psych & Ethics","376
001","12","3.750","66.7","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416
001","13","2.622","7.7","15.4","38.5","23.1",".",".","15.4",".",".",".",".",".",".",".",".","."
"","490
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
002","43","3.475","11.6","65.1","16.3",".",".",".",".","4.7",".",".",".",".","2.3",".",".","."
"","490
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
004","19","3.263","10.5","47.4","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Jewish Studies","Course Total","68","3.431","16.2","54.4","22.1","1.5","1.5",".",".","2.9",".",".",".",".","1.5",".",".","."
"Germn-Jewsh Cltr Since 18c","510
001","10","3.556","60.0","20.0",".",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593
001","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"JEWISH
510","Dept. Total","249","3.388","24.9","44.6","20.1","4.0","1.2","0.8","1.2","2.0",".",".",".",".","0.8","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.673","50.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".","."
"Sophomore","","57","3.262","14.0","47.4","29.8","5.3","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Junior","","55","3.321","29.1","38.2","21.8","5.5","1.8",".","3.6",".",".",".",".",".",".",".",".","."
"Senior","","128","3.457","25.8","47.7","16.4","2.3","0.8","1.6",".","3.9",".",".",".",".","1.6",".",".","."
"Undergraduates","","248","3.385","24.6","44.8","20.2","4.0","1.2","0.8","1.2","2.0",".",".",".",".","0.8","0.4",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","249","3.388","24.9","44.6","20.1","4.0","1.2","0.8","1.2","2.0",".",".",".",".","0.8","0.4",".","."
