"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","154","3.355","33.1","27.3","24.7","7.1","1.3",".","2.6","3.9",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","14","3.625","57.1","7.1","14.3",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"The Symphony","106
001","","78","3.520","52.6","11.5","25.6","2.6","3.8","1.3",".","2.6",".",".",".",".",".",".",".","."
"","111
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
111","","26","3.731","76.9","7.7","3.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","49","3.857","87.8","4.1","2.0","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"Music in Performance","114
001","","489","3.882","81.8","5.3","3.1","0.4","0.8","0.4","0.4","7.8",".",".",".",".",".",".",".","."
"","122
001","","21","3.095","14.3","33.3","28.6","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","002
122","","32","3.078","21.9","18.8","28.1","21.9","6.3","3.1",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","53","3.085","18.9","24.5","28.3","18.9","5.7","3.8",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","001
151","","30","3.617","73.3","3.3","13.3","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"","101
172","","12","3.292","8.3","58.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","172
102","","9","3.389","11.1","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","103
172","","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","8","3.000",".","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","172
105","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","53","3.302","15.1","45.3","26.4","11.3","1.9",".",".",".",".",".",".",".",".",".",".","."
"Music and Society","201
001","","21","3.425","38.1","23.8","28.6",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","313","3.734","57.2","30.7","7.7","0.6","1.0",".",".","2.9",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","","60","3.208","38.3","13.3","23.3","8.3","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"","222
001","","19","3.316","31.6","31.6","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","222
002","","18","3.500","50.0","22.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","","37","3.405","40.5","27.0","21.6","5.4","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"","254
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","25","3.840","96.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","264
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","267
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
