"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
002","18","3.889","77.8","22.2",".",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","371
001","22","3.000","31.8","40.9","4.5","4.5","",".","4.5","13.6",".","",".","",".",".","",".","",".","",".",".","."
"","371
002","19","3.816","68.4","26.3","5.3",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","41","3.378","48.8","34.1","4.9","2.4","",".","2.4","7.3","",".","",".",".","",".","",".","",".",".",".","."
"Computer-Based Data Mgt","422
001","26","3.712","57.7","26.9","15.4",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","40","3.525","40.0","27.5","30.0","2.5","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Computer-Based Data Mgt","722
001","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","10","3.900","90.0",".","10.0",".","",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Contemporary Topics","765
002","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","142","3.599","55.6","25.4","14.8","1.4","",".","0.7","2.1","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","2.333",".","66.7",".",".","",".",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.500","53.3","33.3","6.7",".","",".",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","97","3.588","50.5","28.9","16.5","2.1","",".","1.0","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","115","3.543","49.6","30.4","14.8","1.7","",".","0.9","2.6","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","3.500","50.0",".","50.0",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","25","3.860","84.0","4.0","12.0",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","142","3.599","55.6","25.4","14.8","1.4","",".","0.7","2.1","",".","",".",".","",".","",".","",".",".",".","."
