"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"","200
001","206","2.949","16.5","18.0","21.8","27.2","14.6","0.5","0.5","1.0",".",".",".",".",".",".",".","."
"","200
002","163","3.207","29.4","22.7","19.0","18.4","9.2",".","0.6",".",".",".",".",".",".",".","0.6","."
"International Business","Course Total","369","3.063","22.2","20.1","20.6","23.3","12.2","0.3","0.5","0.5",".",".",".",".",".",".","0.3","."
"Business German","331
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
000B","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
000C","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","4","3.591","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","8","3.775","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","399
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
091","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
399","24","3.870","91.7",".",".",".",".","4.2",".",".",".",".",".",".",".","4.2",".","."
"Reading & Research-Intl Bus","Course Total","53","3.945","96.2",".",".",".",".","1.9",".",".",".",".",".",".",".","1.9",".","."
"Global Issues in Management","403
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"European Studies Seminar","594
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Marketing","720
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"International Real Estate","730
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"INTL BUS
235","Dept. Total","469","3.163","33.0","19.0","17.9","18.3","9.6","0.4","0.4","0.9",".",".",".",".",".","0.2","0.2","."
