"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4761","2.985","29.3","15.9","18.8","12.3","15.8","3.9","1.7","2.0","0.0",".","",".","0.0","0.1","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","947","2.657","12.2","18.1","16.9","19.5","23.8","5.7","3.6",".",".",".","",".",".",".",".","0.1","0.1"
"Sophomore","","1259","2.954","24.0","19.2","19.4","13.7","17.3","4.4","1.7","0.2",".",".","",".",".","0.1",".",".","0.1"
"Junior","","1041","2.934","27.0","13.7","23.2","11.2","18.1","4.7","1.4","0.4",".",".","",".",".","0.1","0.1",".","."
"Senior","","1201","3.243","42.3","15.5","19.3","8.2","10.0","2.4","0.9","1.2","0.1",".","",".",".",".","0.1",".","."
"Undergraduates","","4448","2.960","27.1","16.7","19.7","12.9","16.9","4.2","1.8","0.5","0.0",".","",".",".","0.0","0.0","0.0","0.0"
"Special","","57","3.436","47.4","10.5","10.5","10.5","1.8",".","1.8","15.8",".",".","",".",".",".",".","1.8","."
"Graduate","","253","3.787","62.5","3.6","4.3","2.0",".","0.4",".","25.3",".",".","",".","0.8","0.8",".","0.4","."
"Prof Yr 1","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4761","2.985","29.3","15.9","18.8","12.3","15.8","3.9","1.7","2.0","0.0",".","",".","0.0","0.1","0.0","0.1","0.0"
