"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","061","12","2.864","8.3","41.7","16.7",".","16.7",".","8.3",".",".",".",".",".",".",".",".","8.3"
"Intro to Speech Composition","","Course Total","632","3.247","17.2","43.0","25.0","8.1","3.6","1.1","1.4","0.2",".",".",".",".",".","0.2",".","0.2"
"","105","001","12","3.167","16.7","41.7","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","105","002","17","3.324","17.6","52.9","23.5",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","105","003","17","3.382","23.5","35.3","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","105","004","15","3.133","6.7","33.3","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","105","005","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105","006","14","3.179","35.7","35.7","7.1",".","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"","105","007","16","3.406","31.3","25.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105","008","15","3.200","20.0","46.7","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","105","009","14","2.893","14.3","42.9","21.4","7.1",".",".","14.3",".",".",".",".",".",".",".",".","."
"Public Speaking","","Course Total","133","3.237","19.5","41.4","26.3","6.0","3.0","0.8","3.0",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","18","2.722","22.2","16.7","22.2","16.7",".","16.7","5.6",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","224","3.011","12.5","20.1","40.6","17.0","6.7","1.8","0.9","0.4",".",".",".",".",".",".",".","."
"Communication & Human Behav","260","001","222","3.183","23.4","27.5","28.4","9.9","7.2","2.7","0.5",".",".",".",".",".",".","0.5",".","."
"","262","001","91","3.192","27.5","26.4","22.0","13.2","5.5","3.3","1.1",".",".",".",".",".",".","1.1",".","."
"","262","002","22","3.295","22.7","31.8","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","262","003","23","3.283","17.4","30.4","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","262","004","21","3.300","23.8","33.3","14.3","23.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"","262","005","19","3.064","5.3","21.1","47.4","21.1",".",".",".","5.3",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","","Course Total","176","3.216","22.7","27.8","27.3","15.3","2.8","1.7","0.6","1.1",".",".",".",".",".","0.6",".","."
"Thry&Pract-Group Discussion","266","001","88","3.381","31.8","34.1","23.9","3.4","5.7",".","1.1",".",".",".",".",".",".",".",".","."
"Intro-Interpersonal Com","272","001","104","3.641","57.7","19.2","17.3","1.9","2.9",".",".","1.0",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","155","2.819","2.6","23.9","37.4","22.6","9.0","1.3","3.2",".",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","162","2.965","8.6","21.0","44.4","11.7","9.3","1.9","1.2","1.9",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","88","3.305","20.5","39.8","22.7","11.4","4.5",".",".",".",".",".",".",".",".","1.1",".","."
"Intro to Video Production","355","001","117","3.364","20.5","37.6","33.3","4.3","1.7",".",".","1.7",".",".",".",".",".","0.9",".","."
"Quantitatve Rsch-Communictn","361","001","38","3.109","15.8","21.1","39.5","21.1",".","2.6",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","96","3.154","8.3","33.3","40.6","11.5","4.2",".",".",".",".",".",".",".",".","2.1",".","."
"Communictn&Conflict Resltn","371","001","73","3.370","26.0","35.6","30.1","5.5","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","324","3.056","17.9","23.8","27.8","14.2","11.1","1.2","1.2","2.8",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","22","2.636",".","18.2","27.3","27.3","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"Miscommunication","410","001","44","2.965","9.1","6.8","59.1","13.6","9.1",".",".","2.3",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","34","3.047","20.6","8.8","41.2","17.6","2.9",".","2.9",".",".",".",".",".","2.9","2.9",".","."
"Television Criticism","451","001","56","3.295","26.8","30.4","23.2","14.3","5.4",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","22","3.405","31.8","22.7","31.8","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457","001","111","3.449","34.2","30.6","25.2","3.6","0.9","1.8",".","1.8",".",".",".",".",".","1.8",".","."
"Global Media Cultures","458","001","41","3.024","17.1","12.2","48.8","12.2","7.3",".","2.4",".",".",".",".",".",".",".",".","."
"Communicatn Technol&Society","459","001","43","2.953","4.7","25.6","34.9","25.6","9.3",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","16","3.438","6.3","75.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiotics of Communication","532","001","21","3.262","19.0","23.8","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556","001","60","2.931","18.3","13.3","25.0","23.3","13.3","3.3",".",".",".",".",".",".","1.7",".",".","1.7"
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 180 of 392",""
