"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131
002","206","3.633","68.0","12.6","7.8","4.4","6.3","0.5","0.5",".",".",".",".",".",".",".",".","."
"","134
001","99","3.597","48.5","29.3","16.2","2.0","3.0",".",".","1.0",".",".",".",".",".",".",".","."
"","002
134","97","2.979","21.6","28.9","20.6","8.2","5.2","8.2","4.1","2.1","1.0",".",".",".",".",".",".","."
"","134
003","85","3.333","31.8","27.1","22.4","10.6","1.2",".","2.4","4.7",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","281","3.306","34.2","28.5","19.6","6.8","3.2","2.8","2.1","2.5","0.4",".",".",".",".",".",".","."
"The Sociology of Gender","138
001","98","3.417","36.7","38.8","12.2",".","7.1","1.0","2.0","1.0",".",".",".",".","1.0",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","167","2.872","13.2","18.0","28.7","15.0","16.2","3.6","1.2","4.2",".",".",".",".",".",".",".","."
"","199
016","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","56","3.282","30.4","23.2","30.4","7.1","5.4",".","1.8","1.8",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","171","3.020","19.3","22.2","29.8","15.8","7.6","2.9","2.3",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","13","2.607","15.4","23.1",".","7.7",".","15.4","7.7","30.8",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","10","3.150","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","11","3.364","27.3","36.4","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"People&Places:Demog-Rur Am","266
001","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","37","3.343","40.5","21.6","16.2","10.8",".","2.7","2.7","5.4",".",".",".",".",".",".",".","."
"","357
001","40","3.113","22.5","20.0","30.0","17.5","7.5","2.5",".",".",".",".",".",".",".",".",".","."
"","357
002","40","3.075","22.5","25.0","32.5","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","003
357","38","3.750","57.9","34.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","118","3.305","33.9","26.3","23.7","7.6","5.9","0.8","1.7",".",".",".",".",".",".",".",".","."
"","360
002","40","3.090","35.0","17.5","17.5","5.0","15.0","5.0","2.5",".",".",".",".",".",".",".","2.5","."
"","003
360","41","3.024","29.3","14.6","29.3","9.8","9.8","2.4","4.9",".",".",".",".",".",".",".",".","."
"","360
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","82","3.056","31.7","15.9","24.4","7.3","12.2","3.7","3.7",".",".",".",".",".",".",".","1.2","."
"Stats for Sociologists II","361
001","14","3.429","57.1","14.3","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","28","3.607","53.6","14.3","32.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","11","3.357","36.4","9.1","18.2","18.2",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"","441
001","109","3.633","52.3","31.2","12.8",".","2.8","0.9",".",".",".",".",".",".",".",".",".","."
"","002
441","27","3.426","22.2","40.7","37.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","Course Total","136","3.600","46.3","33.1","17.6",".","2.2","0.7",".",".",".",".",".",".",".",".",".","."
"","475
001","26","2.731","23.1","11.5","26.9","11.5","11.5","7.7","7.7",".",".",".",".",".",".",".",".","."
"","475
002","17","3.654","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
475","36","2.700","11.1","27.8","11.1","13.9","19.4","13.9",".",".",".",".",".",".",".","2.8",".","."
"","475
004","35","2.838","20.0","17.1","14.3","25.7","8.6","11.4",".",".",".",".",".",".","2.9",".",".","."
"Classical Soc Theory","Course Total","114","2.896","21.9","21.9","16.7","14.9","11.4","9.6","1.8",".",".",".",".",".","0.9","0.9",".","."
"Feminism & Sociologicl Thry","477
001","11","3.300","36.4","18.2","9.1","18.2","9.1",".",".",".",".",".",".",".",".","9.1",".","."
"","496
001","25","2.960","16.0","32.0","12.0","16.0","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"","496
002","63","3.302","25.4","34.9","20.6","12.7","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","88","3.205","22.7","34.1","18.2","13.6","10.2","1.1",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","002
530","99","3.052","18.2","28.3","21.2","14.1","11.1","3.0","1.0","3.0",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
