"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Issues in Educ Policy Analysis","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
005","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","18","3.792","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Analysis Seminar","810
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Methods-Public Policy","819
001","","18","3.306","11.1","44.4","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Internatnl Bus & Gov","841
001","","17","3.353","23.5","23.5","52.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","18","3.500","27.8","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
002","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshp-Prgm & Policy Analysis","Course Total","","29","3.690","48.3","41.4","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","873
001","","25","3.660","40.0","52.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878
001","","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fed Budget&Tax Policy&Admin","890
001","","16","3.633","31.3","56.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Smr-Rsch in Public Affairs","958
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","9","3.750","44.4","44.4",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","974
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","974
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","30","3.776","63.3","26.7","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".","."
