"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","142","2.904","26.8","19.0","14.1","12.7","15.5","7.7","2.8",".",".",".",".",".",".","1.4",".","."
"221
Adv Meat Animal Eval Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","27","3.315","33.3","22.2","29.6","3.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"289","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"289","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"299","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","16","3.219","18.8","37.5","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"360
Principles-Animal Breeding","001","","17","3.206","35.3","23.5","17.6","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Sheep Production","001","","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","26","2.904","15.4","11.5","26.9","30.8","15.4",".",".",".",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","3.700","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","035","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","003","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"951
Seminar in Animal Breeding","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","24","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 32 of 392"
