"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","36","3.903","75.0","2.8","5.6",".",".",".",".","11.1",".",".",".","5.6",".",".",".","."
"715
Adv Mthds-Quality Improvmnt","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Nonlinear Progm Algorithms","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","13","",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".",".",".","."
"816
Spec Topics-Systems Design","001","","11","3.893","81.8",".","9.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"859
Topics-Human Factors Engr","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"874
Special Topics-Ergonomics","001","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","17","",".",".",".",".",".",".",".","82.4",".",".",".","17.6",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
