"Summary by Level","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Senior","3",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Undergraduates","4",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Special","1",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Graduate","2
3.500","50.0","",".","50.0","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","345
3.890","68.4","","10.4","","3.5",".","",".","",".","",".","8.1","",".","5.5","",".","",".","","0.9",".","3.2","."
"Prof Yr 2","1283
3.526","32.1","","29.7","21.8","","3.0","","1.0","",".","",".","12.2","",".",".","",".","",".","","0.1",".",".","."
"Prof Yr 3","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","1632
3.646","39.7","","25.6","","17.9","2.4","","0.8","",".","",".","11.6","",".","1.2","",".","",".","","0.2",".","0.7","."
