"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","249","2.639","11.2","15.7","21.7","8.8","26.9","7.2","2.4","5.2","0.8",".",".",".",".",".",".","."
"","102
001","12","3.688","33.3","25.0","8.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","102
002","15","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","27","3.833","40.7","11.1","3.7",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","111
001","21","3.917","76.2","4.8","4.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","111
002","22","4.000","86.4",".",".",".",".",".",".","9.1","4.5",".",".",".",".",".",".","."
"","111
003","25","3.895","64.0","8.0","4.0",".",".",".",".","16.0","4.0",".",".",".",".","4.0",".","."
"","111
004","22","4.000","86.4",".",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","90","3.953","77.8","3.3","2.2",".",".",".",".","13.3","2.2",".",".",".",".","1.1",".","."
"","125
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
002","22","3.625","9.1","4.5","4.5",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"","125
003","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"","125
004","15","4.000","6.7",".",".",".",".",".",".","66.7","6.7",".",".",".",".",".","20.0","."
"Adapted Fitness&Pers Traing","Course Total","65","3.700","4.6","1.5","1.5",".",".",".",".","83.1","1.5",".",".",".",".",".","7.7","."
"","127
001","23","3.722","17.4","21.7",".",".",".",".",".","60.9",".",".",".",".",".",".",".","."
"","127
002","22","3.500","13.6","27.3","13.6",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","127
003","26","3.409","11.5","15.4","11.5","3.8",".",".",".","53.8","3.8",".",".",".",".",".",".","."
"","127
004","20","3.389","15.0","10.0","15.0","5.0",".",".",".","55.0",".",".",".",".",".",".",".","."
"","127
005","20","3.444","15.0","10.0","20.0",".",".",".",".","55.0",".",".",".",".",".",".",".","."
"Bowling I","Course Total","111","3.490","14.4","17.1","11.7","1.8",".",".",".","54.1","0.9",".",".",".",".",".",".","."
"Intro to Yoga Practice","129
002","14","3.929","42.9","7.1",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","17","3.083","35.3","11.8","11.8",".",".",".","11.8","23.5","5.9",".",".",".",".",".",".","."
"","131
001","18","3.600","27.8","44.4","11.1",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","131
002","20","2.938","20.0",".","5.0","5.0","5.0",".","5.0","60.0",".",".",".",".",".",".",".","."
"","131
003","22","3.344","13.6","27.3","27.3","4.5",".",".",".","22.7","4.5",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","60","3.359","20.0","23.3","15.0","3.3","1.7",".","1.7","33.3","1.7",".",".",".",".",".",".","."
"","132
001","20","3.750","55.0","15.0","5.0","5.0",".",".",".","15.0",".",".",".",".",".","5.0",".","."
"","132
002","24","3.714","16.7","8.3","4.2",".",".",".",".","70.8",".",".",".",".",".",".",".","."
"","132
003","28","3.526","32.1","17.9","10.7","3.6","3.6",".",".","32.1",".",".",".",".",".",".",".","."
"","004
132","21","3.367","14.3","33.3","19.0",".","4.8",".",".","28.6",".",".",".",".",".",".",".","."
"","132
005","17","3.591","29.4","17.6","17.6",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"","132
006","18","3.583","27.8","22.2","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","007
132","27","3.176","33.3","3.7","7.4","11.1",".","3.7","3.7","33.3","3.7",".",".",".",".",".",".","."
"","132
008","24","3.525","16.7","54.2","12.5",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","132
009","21","3.654","28.6","23.8","9.5",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"","010
132","24","3.692","29.2","16.7","8.3",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"Weight Training","Course Total","224","3.538","28.1","21.0","10.7","2.2","0.9","0.4","0.4","35.3","0.4",".",".",".",".","0.4",".","."
"","001
133","17","3.714","52.9","11.8","17.6",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","133
002","16","3.625","25.0","43.8","6.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","133
003","21","3.675","47.6","33.3","14.3",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","133
004","15","3.778","40.0","13.3","6.7",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","133
005","21","3.538","28.6","19.0","4.8","9.5",".",".",".","38.1",".",".",".",".",".",".",".","."
"","133
006","22","3.306","22.7","36.4","13.6","4.5",".",".","4.5","18.2",".",".",".",".",".",".",".","."
"","133
007","27","3.605","29.6","25.9","14.8",".",".",".",".","29.6",".",".",".",".",".",".",".","."
"","133
008","18","3.533","44.4","33.3",".",".",".",".","5.6","16.7",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 96 of 392"
