"LANGUAGES AND CULTURES O Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","","",""
"Elem Hindi-Urdu Intensive","102","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Indonesian","106","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Sem Pilipino/Tagalog","108","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","116","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semstr Pilipino/Tagalog","208","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Civs of India-Classical Per","251","001","","23","3.159","13.0","26.1","39.1","13.0","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"Cen Asia: Silk Route-Afghan","265","001","","15","3.708","46.7","20.0","13.3",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Intro to Turkish Folk Lit","279","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LCA","","Course Total","","14","3.793","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Hindi-Urdu Intensive","302","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Telugu Intensive","304","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Telugu","306","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Hindi","308","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Indonesian","312","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Thai","314","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Thai","316","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Sanskrit","318","001","","6","3.875","50.0","16.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Third Year Sanskrit","322","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Turkish","327","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Turkish","332","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Indonesian","338","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Pali","344","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Year Urdu","346","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings in Advanced Urdu","360","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Year Literary Tibetan","378","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Semstr Pilipino/Tagalog","397","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semstr Pilipino/Tagalog","419","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hinduism&Islam-Medieval S Asia","420","001","","10","3.389","50.0","10.0","20.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","9","2.833","11.1","22.2","33.3","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","","7","3.000",".","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Thai","447","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Medieval India","448","001","","6","3.471","33.3","33.3",".",".","16.7",".",".",".",".",".",".",".",".","16.7",".","."
"Modern India, 1860-1990","450","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Thai Lit:The Novel","454","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Buddhism&Soc Institutn","460","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
