"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"504
Research Meth-Buddhist Stdy","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"532
Tibetan Literature","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Fiction&Ethnography in Turkey","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"630
Proseminar","001","","14","3.909","64.3","14.3",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"634
Social Structure of India","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"873
Smr-Lang & Lit of S Asia","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","24","",".",".",".",".",".",".",".","95.8",".",".",".","4.2",".",".",".","."
"999
Individual Research","044","","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
