"","990
021","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
024","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".",".","35.7",".",".",".","64.3","",".",".",".","."
"Special Problems","999
015","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"BSE
112","Dept. Total","170","2.953","18.2","14.7","29.4","12.4","10.6","4.1","1.2","2.9",".",".",".","5.3","",".",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","3.125",".","25.0","75.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","11","3.063","18.2","18.2","27.3","18.2","18.2",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","36","2.942","11.1","16.7","38.9","16.7","5.6",".","5.6",".",".",".",".",".","",".",".","5.6","."
"Senior","","99","2.889","22.2","13.1","30.3","13.1","14.1","7.1",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","150","2.921","18.7","14.7","33.3","14.0","12.0","4.7","1.3",".",".",".",".",".","",".",".","1.3","."
"Special","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","18","3.750","11.1","11.1",".",".",".",".",".","27.8",".",".",".","50.0","",".",".",".","."
"","Dept. Total","170","2.953","18.2","14.7","29.4","12.4","10.6","4.1","1.2","2.9",".",".",".","5.3","",".",".","1.2","."
