"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","3","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Special","11","3.364","18.2","18.2","36.4","9.1",".","",".",".","9.1","",".",".","",".",".","",".",".","9.1","."
"Graduate","14","3.964","64.3","7.1",".",".",".","",".",".",".","",".",".","",".","28.6","",".",".",".","."
"Prof Yr 1","289","3.735","67.1","17.3","11.8","1.7","1.4","",".",".",".","",".",".","",".",".","",".",".",".","0.7"
"Prof Yr 2","396","3.154","43.9","21.0","16.7","12.9","5.1","",".","0.5",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","376","3.195","46.3","15.4","21.3","9.8","5.9","",".","1.3",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","176","3.819","77.3","11.4","7.4","4.0",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","1237","3.481","54.8","17.1","15.6","8.1","3.7","",".","0.6",".","",".",".","",".",".","",".",".",".","0.2"
