"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Westrn Relig&Intellect Hist","208","001","21","3.119","9.5","14.3","66.7","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","62","3.275","30.6","27.4","27.4","6.5",".",".","4.8","3.2",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261","001","24","3.105","20.8","16.7","16.7","8.3","16.7",".",".","20.8",".",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","105","3.655","55.2","30.5","9.5","1.0",".",".","1.9","1.9",".",".",".",".",".",".",".","."
"The Protestant Reformation","334","001","23","3.628","47.8","26.1","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","6","3.850","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Lit: Greco-Roman Period","346","001","24","3.370","41.7","12.5","33.3",".","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"Introduction to Taoism","350","001","24","3.233","25.0","33.3","16.7","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Confucianism","363","001","28","3.630","53.6","21.4","14.3","7.1",".",".",".","3.6",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ancient Jewish Psych & Ethics","376","001","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","12","3.273","16.7","16.7","58.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","400","001","9","3.667","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","400","002","8","3.276","37.5",".","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","400","003","9","3.500","33.3","33.3","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","26","3.475","50.0","11.5","23.1","3.8","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"Topics in Relig St-Soc Studies","401","001","22","3.548","27.3","50.0","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Hinduism&Islam-Medieval S Asia","420","001","8","2.563","25.0","12.5","37.5",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","29","3.212","20.7","20.7","41.4","3.4",".",".","3.4","6.9",".",".",".",".","3.4",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","9","3.111","11.1","11.1","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","11","3.294","18.2","9.1","54.5",".",".",".",".",".",".",".",".",".",".","18.2",".","."
"Philosophy of Religion","501","001","15","3.214","26.7","13.3","33.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Research Meth-Buddhist Stdy","504","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism in Hist of S&SE Asia","621","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Structure of India","634","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","9","3.111","44.4","11.1","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
