"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","106","3.433","34.9","35.8","16.0","5.7","4.7",".","0.9","1.9",".",".",".",".",".",".",".","."
"","301
002","64","3.898","82.8","14.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","170","3.610","52.9","27.6","11.2","3.5","2.9",".","0.6","1.2",".",".",".",".",".",".",".","."
"","320
001","183","3.224","22.4","36.1","21.9","9.8","7.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"","002
320","111","3.270","27.9","25.2","30.6","9.0","6.3",".","0.9",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","294","3.241","24.5","32.0","25.2","9.5","7.1","0.7","1.0",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","196","3.531","44.9","31.1","15.8","4.6","1.0",".","1.5","1.0",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","6","3.958","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","711
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","20","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Development and Aging","722
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assessment Techniques","745
001","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","761
001","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","43","3.631","48.8","27.9","18.6","2.3",".",".",".",".",".",".",".",".","2.3",".",".","."
"Stat Meth-Applied to Ed II","Course Total","61","3.667","54.1","24.6","18.0","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Test Construction","771
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","31","3.900","77.4","19.4",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Theory II","871
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947
001","23","3.696","65.2","8.7","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Statistics & Rsch Dsgn","961
001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","6","",".",".",".",".",".",".",".","66.7","16.7",".",".","16.7",".",".",".","."
"","990
014","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 94 of 392"
