"INTERDIS COURSES (SOHE)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","",""
"Alcohol: Behav, Culture & Sci","111
001","28","3.054","10.7","28.6","39.3","10.7","7.1","3.6",".",".",".","",".",".",".",".","",".",".","."
"","299
004","7","3.875","85.7","14.3",".",".",".",".",".",".",".","",".",".",".",".","",".",".","."
"","299
004","4","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","299
004","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","299
004","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","Section Total","16","3.850","87.5","6.3",".",".","6.3",".",".",".","",".",".",".",".","",".",".",".","."
"","299
064","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Independent Study","Course Total","17","3.870","88.2","5.9",".",".","5.9",".",".",".","",".",".",".",".","",".",".",".","."
"Practicum-Fam & Consumer Educ","330
001","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Tech-based Fam&Consmr Ed-Adult","001
340","7","2.786","28.6","14.3","14.3",".","28.6","14.3",".",".",".","",".",".",".",".","",".",".","."
"Leadershp Dynam-Community Bldg","360
001","21","3.238","28.6","19.0","33.3","9.5","9.5",".",".",".",".","",".",".",".",".","",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
002","4","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Meths-Teachng Fam & Consumr Ed","427
001","19","3.079","21.1","15.8","31.6","21.1","10.5",".",".",".",".","",".",".",".",".","",".",".","."
"Capstone Seminar","450
001","24","2.938","25.0","16.7","20.8","12.5","20.8",".","4.2",".",".","",".",".",".",".","",".",".","."
"Hist of Motherhood in Amer","473
001","5","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","501
001","5","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","501
002","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".","",".",".",".",".","",".",".","."
"Special Topics","Course Total","29","3.862","79.3","13.8","6.9",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Independent Study","699
005","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research Methods","793
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".","",".",".",".",".","",".",".","."
"INTER-HE
498","Dept. Total","167","3.347","41.9","19.2","21.0","7.2","8.4","1.2","0.6","0.6","",".",".",".",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","26","3.077","11.5","26.9","42.3","11.5","3.8","3.8",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","6","3.136","50.0","16.7",".",".","33.3",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","26","3.058","42.3","15.4","15.4","11.5","11.5",".","3.8",".","",".",".",".",".","",".",".",".","."
"Senior","","86","3.367","40.7","18.6","22.1","7.0","9.3","1.2",".","1.2","",".",".",".",".","",".",".",".","."
"Undergraduates","","144","3.255","36.1","19.4","23.6","8.3","9.7","1.4","0.7","0.7","",".",".",".",".","",".",".",".","."
"Graduate","","23","3.870","78.3","17.4","4.3",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","167","3.347","41.9","19.2","21.0","7.2","8.4","1.2","0.6","0.6","",".",".",".",".","",".",".",".","."
