"Research or Thesis","Course Total","25","",".",".",".",".","",".",".","",".","64.0","4.0",".",".","32.0",".",".",".","."
"","999
013","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","999
017","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"RP & SE
194","Dept. Total","531","3.915","80.0","11.5","1.3","0.2","",".","0.2","",".","4.3","0.2",".",".","1.9","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","36","3.861","77.8","19.4",".","2.8","",".",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","82","3.939","87.8","12.2",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","68","3.922","85.3","13.2","1.5",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","144","3.904","84.7","12.5","2.1",".","",".","0.7","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","330","3.910","84.8","13.3","1.2","0.3","",".","0.3","",".",".",".",".",".",".",".",".",".","."
"Special","","10","4.000","90.0",".",".",".","",".",".","",".",".",".",".",".",".","10.0",".",".","."
"Graduate","","191","3.922","71.2","8.9","1.6",".","",".",".","",".","12.0","0.5",".",".","5.2","0.5",".",".","."
"","Dept. Total","531","3.915","80.0","11.5","1.3","0.2","",".","0.2","",".","4.3","0.2",".",".","1.9","0.4",".",".","."
