"","775
028","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","775
029","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","775
037","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Externship","Course Total","33","4.000","3.0",".",".",".",".","",".","",".","97.0","",".",".","",".","",".",".",".",".","."
"MED SC-V
623","Dept. Total","974","3.529","18.0","4.5","6.0","0.4","0.7","",".","",".","69.4","",".","0.6","",".","",".","0.3",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","285","3.469","8.1","10.9","9.1","0.4",".","",".","",".","71.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","107","4.000","0.9",".",".",".",".","",".","",".","97.2","",".",".","",".","",".","1.9",".",".","."
"Prof Yr 3","","174","3.266","12.6","7.5","18.4","1.7","4.0","",".","",".","55.7","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","400","4.000","30.5",".",".",".",".","",".","",".","67.5","",".","1.5","",".","",".","0.3",".","0.3","."
"Professionals","","966","3.520","17.4","4.6","6.0","0.4","0.7","",".","",".","69.9","",".","0.6","",".","",".","0.3",".","0.1","."
"","Dept. Total","974","3.529","18.0","4.5","6.0","0.4","0.7","",".","",".","69.4","",".","0.6","",".","",".","0.3",".","0.1","."
