"Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"","999
001","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","999
014","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Independent Work","Course Total","2","***","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","3654","2.942","19.0","18.7","27.0","13.4","13.3","3.7","2.0","2.5","0.1","0.0",".","",".","0.1","0.0",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","593","2.894","13.5","17.5","34.1","13.2","17.4","2.9","1.3",".",".",".",".","",".",".",".",".","0.2"
"Sophomore","","1073","2.944","16.8","20.8","27.6","15.8","13.1","4.0","2.0",".",".",".",".","",".",".",".",".","."
"Junior","","732","2.770","15.8","17.9","23.4","15.8","18.2","5.1","3.7",".",".",".",".","",".",".","0.1",".","."
"Senior","","777","2.948","21.4","19.0","23.6","13.6","13.3","4.6","2.1","2.2","0.3",".",".","",".",".",".",".","."
"Undergraduates","","3175","2.895","17.1","19.1","26.8","14.8","15.1","4.2","2.3","0.5","0.1",".",".","",".",".","0.0",".","0.0"
"Special","","20","3.648","50.0","20.0","15.0","5.0",".",".",".","5.0",".","5.0",".","",".",".",".",".","."
"Graduate","","455","3.399","31.4","16.3","28.8","4.6","0.9","0.2","0.2","16.5",".",".",".","",".","0.9",".",".","0.2"
"Prof Yr 1","","4","2.875",".","25.0","50.0",".","25.0",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","4","2.875",".","25.0","50.0",".","25.0",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","3654","2.942","19.0","18.7","27.0","13.4","13.3","3.7","2.0","2.5","0.1","0.0",".","",".","0.1","0.0",".","0.1"
